English Term,English Definition,IsiZulu Term,IsiZulu Definition
pendant,,umhlobiso olengiswayo,
pew,,ibhentshi lasesontweni,
pier,,insika iphiye,
pierced decoration,,umqophomhlobiso,
pilotis,,izinsika eziphase indlu,
pinnacle,,isicongo sombhoshongo,
plinth,,isisekelo iplinti,
post,,isigxobo/insika,
prefabricated buildings,,amaphrifebhu,
purlin,,ibhathini/iphelini,
purlin roof,,uphahla lwamathandela/lwamaphelini,
quarry,,igilasi elinomumo wedayimani,
queen post,,isekansika,
queen post truss,,uhlaka lophahla olunamasekansika,
quoin,,itshe lekhona/ itshe legumbi,
rafter,,umshayo,
rake,,ukwehlela kophahla/ukutshekela kophahla,
reverse ogee moulding,,umhlobiso ophetha ngobugwinci obuhlanekezelwe,
ridge,,umqolo wophahla/ irijini,
ridge capping,,isembozomqolo/ isembozorijini,
ridge pole, ridge purlin, or ridge piece,,ibhanuko lomqolo wophahla/ ibhaluko lomqolo wophahla,
rod,,uthingo/uthungo lwendlu,
roll,,isixha,
roman tiles,,ithayili iromani,
rough cast,,udonga olumahhadla,
rubble,,amatshe angancweliwe ,
saddle bars,,izinsinjana zokuqinisa amawindi,
san,,umuthwa /umsani ,
sapling,,uthingo/uthungo,
sash bar,,isihlanganisimagilasi esivundlayo/esinqumayo,
sash window,,iwindi/ifastela eliphakanyiswayo,
scud,,intambo,
sotho architecture,,indlela yokwakha ngokwabesuthu,
sett,,ukufulela,
settlement,,ukuhlaliswa endaweni,
shearing hook,,isingasikela/ isiphundlatshani ,
shingle,,ithayili lepulangwe,
shore,,ishoki,
side purlin,,ibhathini laseceleni/iphelini laseceleni,
smooth style thatching,,ukufulela okucolisekile,
spandrel,,isipandela,
spar hook,,isicijikhuni/ isicijakhuni,
spire,,isicongo sombhoshongo,
spire lights,,amawindana esicongweni sombhoshongo,
splay,,intuba,
squinch,,isigcwalisi esesekayo,
stable door,,isivalo esihlukana enkabeni/isivalo esihlukana ngaphansi nangaphezulu,
stanchion,,isiqinisamawindi,
steeple,,umbhoshongo wesonto,
stick style,,indlu yedanishi,
