English Term;English Definition;IsiZulu Term;IsiZulu Definition
lawful collection of waste;;ukuqoqwa kwemfucuza okusemthethweni;
lawful removal of waste;;ukususwa kwemfucuza okusemthethweni;
leachate ;;amanzi engqibamfucuza;
leachate collection system;;uhlelo lokuqoqwa kwamanzi engqibamfucuza;
leachate management;;ukulawulwa kwamanzi engqibamfucuza;
leachate pond;;ixhaphozana lamanzi engqibamfucuza;
leachate treatment;;ukuhlanzwa kwamazi engqibamfucuza;
level of service ;;izingakusebenza;
lift ;;ugqinsimfucuza;
linear ;;isithiyo;
liquid waste;;imfucuza esaketshezi;
litter;;izibi/udoti;
litter prevention;;ukugwema ukungcolisa ;
litter traps ;;isivimbadoti;
litterbug;;umatshinga/ umahambelahla;
littering ;;ukutshinga /ukulahla ;
long ranger transfer;;ukuthuthwa kwemfucuza esazodluliswa;
macrorouting;;imizila yokuthuthwa kwemfucuza;
magnetic separation;;ukuhlukanisa ngozibuthe;
manual landfill;;ukusetshenzwa kwengqibamfucuza ngezandla;
manual separation;;ukuhlukaniswa kwengqibamfucuza ngezandla;
marine debris;;imvithi yasolwandle;
market ;;imakethe/Indali;
market waste;;imfucuza yezimakethe;
mass burn system;;uhlelokushiswa kwenqwabamfucuza;
massburn;;ukushiswa kwenqwabamfucuza;
medical waste;;imfucuza yezokwelapha;
microorganism;;okuphilayo okuncu;
minimisation ;;ukunciphisa/ukwehlisa;
mining waste;;imfucuza yasezimayini;
mixed paper ;;amaphepha axubene;
mixed waste;;imfucuza exubene;
mixed waste processing;;uhlelokusetshenzwa kwemfucuza exubene;
modular incinerator;;imbawula yemfucuza;
monitoring ;;ukuhlola;
monofill;;ingqibamfucuza yohlobolunye;
municipal area;;indawo kamasipala;
municipal solid waste;;imfucuza kamasipala;
municipal wastewater(sewage) ;;amanzi angcolile kaMasipala;
natural liner;;ulwelwesisembozo ngokwemvelo;
natural recycling ;;ukusimamisa ngokwemvelo;
natural resources;;imithombo yemvelo;
night soil;;indle/itshelentaba;
nitrogenous waste;;imfucuza enenayithrojini;
nonbiodegradable ;;okungagayeki;
nonferrous metal;;okusansimbi;
nonhazardous ;;okungenabungozi;
nonrecyclable;;okungavuseleleki;
nonrenewable resources ;;imithombo engeke isasebenziseka;
nuisance;;uhlupho;
occupier;;umhlali;
odour control;;ukulawuliphunga;
offsite treatment of waste;;ukuhlanzwa kwemfucuza ngaphandle kwesizinda;
onsite treatment of waste;;ukuhlanzwa kwemfucuza esizindeni ;
open burning;;ukushisa imfucuza;
open dump site;;isizinda sokulahla udoti esivulelekile;
operation;;ukusetshenzwa kwemfucuza;
operator ;;osebenza ngemfucuza;
organic waste;;imfucuza yokunokuphila/enekhabhoni;
owner;;umnikazi;
ownership of refuse;;ubunikazi bemfucuza;
packaging waste;;ukupakisha imfucuza;
paint exchange;; ukushintshisana ngopende;
participation rate ;;izingabungako lokuzibandakanya/lokubamba iqhaza;
passive venting;;isikhiphamoya;
pathogen;;indalasifo;
pathogenic;;okudala isifo;
permeability ;;ukukwazi ukudlulisa okuthile;
permeable ;;okukwazi okudlulisa okuthile;
pest;;izilokazane;
pesticides;;isibulalazilokazane;
plastics;;uplastiki;
point source;;umsuka wezinukubezi/wezingcolisi;
pollution ;;ukunukubeza/ukungcolisa;
 pollution prevention;;ukuvikela ukunukubezeka/ukungcola;
porous;;okunezimbotshana;
postconsumer materials;;osekusetshenzisiwe;
postconsumer recycling;;ukuvuselela osekusetshenzisiwe;
pre-treatment;;isandulelakuhlanza;
primary collection system ;;uhlelokuqoqa imfucuza esigabeni sokuqala;
public Cleansing Services;;izinsizakuhlanza ezindaweni zomphakathi;
putrefaction ;;umbola;
putrescible ;;okunombola;
pyrolysis ;;ukubola;
radioactive Waste;;imfucuza yemisebe enobungozi;
raw sludge;; ubikiza;
receptor ;;isimukeli;
recipient ;;umamukeli;
reclamation ;;ukucosha osekulahliwe;
recovery ;;uguqulomandla;
recovery rate;;izinga loguqulomandla;
recyclables ;;okuvuselelekayo;
recycling;;ukuvuselela;
recycling station;;isizinda sokuvuselela;
refuse;;imfucuza;
refuse container;;isiqukathimfucuza;
refuse derived fuel;;amandla akhiwe ngemfucuza;
refuse receptacle;;isiqukathimfucuza esigunyaziwe;
refuse reclamation;;ukusebenzisa kabusha imfucuza;
refuse removal contractor;;usonkontileka ongumthuthimfucuza;
remediation;;indlelakuhlanzwa;
removal of refuse;;ukuthuthwa kwemfucuza;
renewable ;;okungaphinde kusebenziseke;
reserve capacity;;umthamo owengeziwe;
residential premises;;indawo ehlala abantu;
residential waste;;imfucuza endaweni ehlala abantu;
residual ;;okuzinsalela ;
residue ;;insalela;
resource recovery;;ukuthola amandla emfucuzeni;
restoration ;;ukubuyisela esimweni;
reuse;;ukuphinda ukusebenzise;
rolloff container ;;isiqukathimfucuza esingumashiywa;
routing ;;ukuhlela umzila ;
rubbish ;;izibi;
runoff;;ukugeleza kwamanzi;
salvage;;ukuhlukaniswa kwemfucuza ;
sampling ;;ukusampula;
sanitary landfill;;ingqibamfucuza yamaqabelo/ yemisubelo/yemibhukuzo;
sanitation residues;;izinsalela zendle/zetshelentaba;
scrap;;izinsimbi ezindala;
