extraoral ;;ingaphandle lomlomo;
extraction;;ukukhipha ;
exudate;;ubomvu;
facial   ;;okobuso;
filling  ;;ukugcwalisa;
filling material;;okokugcwalisa;
fissure ;;umnkenkana ;
fistula ;;umgudu wobomvu ;
fixed partial denture;;amazinyokufakelwa angaphelele angaphumi;
floss;;usinga lokuvungula;
fluoride ;;isiqinisisembozosicongo;
fluorosis ;;ukugqwala kwamazinyo;
foramen  ;;imbotshana ethanjeni.;
fossa;;isigojana semvelo ezinyweni.;
fracture;;ukuqhephuka/ukuvaveka ;
frenum;;umsiphamlomo;
furcation;;inhlukanamisuka;
gingiva  ;;insini;
attached gingiva;;insini enamathele ;
free gingiva;;insini enganamathele;
gingival margin;;unqenqema lwensini ;
gingivectomy;;ukuhlinzwa kwensini;
gingivitis;;ukuvuvuka kwensini;
glass ionomer;;isigcwalisimazinyo;
groove;;umsedlana ;
gums;;izinsini;
gum disease;;isifo sezinsini;
gum recession;;ukuhlehla kwezinsini;
gutta percha ;;isimelimongo;
halitosis;;ukunuka komlomo;
health;;impilo;
healthy foods;;ukudla okunempilo;
health promotion ;;ukukhuthaza ngezempilo;
hyperaemia ;;ingelezomawala yegazi ;
hyperkeratosis ;;ukugqinsiseka kwesikhumba;
hyperplasia;;ukhulozinhlayiya olungajwayelekile ezicutshini;
hypersensitivity;;ukuzwela ngokweqile ;
hypertrophy ;;ukhulozicubu olwedlulele;
immediate denture ;;amazinyo okufakelwa esikhashana;
impacted tooth;;izinyokudonda;
implant;;isimela;
dental implant;;;
impression ;; isusela ;
incisal ;;okweluma;
incision and drainage ;;ukusika nokumoma/ukulumeka;
incisive papilla ;;uqhubukushonsini lweluma;
incisor  ;;iluma;
indigent (To be Removed);;umuntu ompofu;
indirect restoration;;ukulungisela engxenye ;
indirect pulp capping ;;ukumboza umongo ungathinteki;
induration ;;ukuqina;
inflammation ;;ukuvuvuka;
injection ;;umjovo;
inlay ;;isigcwalisi sangaphakathi ;
inner canthus of eye (Khipha);;ichopho leso elingaphakathi;
inspection ;;ukuhlola ;
interdental ;;okuphakathi kwamazinyo;
interdental aid;;insizakuhlanza yaphakathi kwamazinyo;
interdental papilla ;;uqhubukushonsini oluphakathi kwamazinyo;
interim (Khipha);;okwesikhashana;
interproximal ;;okusondelene maphakathi ;
intracoronal ;;okungaphakathi esicongweni ;
intraoral  ;;okuphakathi komlomo;
jaw ;;umhlathi;
junctional epithelium ;;inhlanganasicubu engaphezulu;
keratin;;iphrotheyni ikherathini;
;; insini enekherathini ;
keratinised gingiva;;;
labial    ;;okodebe;
labial commissure ;;ichopho lezindebe ;
laminate veneer  ;;isembozocwephe sezinyo  ;
;;;
lateral ;;okuseceleni/okusohlangothini;
latency ;;ukucasha/ukufihleka;
legal obligation;;isibopho ngokomthetho;
legislation ;;imithetho;
lesion  ;;isilonda;
leukoplakia ;;inkwethu eyisimbelambela;
line angle  ;;iyengela lemigqa;
lingual ;;okolimu;
lip;;udebe;
macule ;;amabala;
malar  ;;okwesihlathi ;
malignant  ;;okunobungozi;
malocclusion  ;;amazinyo agejene;
mandible  ;;umhlathi ongezansi ;
mandibular torus;;ithambosimila emhlathini ongezansi;
mastication;;ukuhlafuna;
maxillo-facial specialist ;;uchwepheshe wobuso nemihlathi;
maxilla  ;;umhlathi ongaphezulu;
maxillary tuberosity ;;ukudumba emhlathini ongaphezulu;
maxillary torus;;ithambosimila olwangeni;
medical history;;umlando wokwelashwa;
medicament;;umuthi;
mesial ;;okusondelene nobudebume obumaphakathi;
metaplasia ;;inguqukosimo yenhlayiya;
microabrasion  ;;ukukhumuzeka okuncu;
microorganism;; okuphilayo okuncu;
midline ;;ubudebume obumaphakathi;
missing tooth ;;izinyo elingekho;
molar  ;;ibamba ;
mouth;;umlomo;
mouthguard ;;isivikelimlomo ;
mouthrinse;;isihlanzimlomo;
muco-gingival junction;;inhlangana yontwentwesi nensini ;
mucosa ;;untwentwesi;
mucous membrane  ;;untwentwesi;
multilocular ;;okunamagumbi amaningi;
nasal septum ;;isehlukanisizimbobo sekhala   ;
neoplasia ;;ukhulozinhlayiya olungalawuleki;
nerve;;umuzwa;
occlusal;;okokuhlafuna;
occlusal radiograph ;;isithombemisebe samazinyo ;
occlusal surface  ;;indawo yokuhlangana kwamazinyo;
occlusion;;ukuhlangana kwamazinyo;
odontogenic  ;;okokwakheka kwamazinyo;
onlay  ;;isigcwalisi sangaphezulu   ;
operculum ;;insini emboze izinyo;
oral  ;;okomlomo;
oral diagnosis;;uhlonzosifo emlonyeni  ;
oral hygiene instructions ;;imiyalelo yenhlanzeko yomlomo;
oral surgery;;ukuhlinzwa emlonyeni;
orthodontics ;;umkhakha wezokuqondiswa kwamazinyo ;
outer canthus of eye (Khipha);;ichopho leso elingaphandle;
overbite;;ugamanxokuma ;
overjet;;ugamanxokuvundla;
overdenture  ;;amazinyokufakelwa asekeliwe ;
palate  ;;ulwanga ;
palatine rugae;;amazenga olwanga ;
palliative  ;;okokudambisa izinhlungu ;
pallor ;;ukuphaphatheka ;
palpation ;;ukutoboza;
panoramic radiograph ;;isithombemisebe sobuso;
papilla ;;uqhubukusho;
parotid papilla ;;uqhubukushosembozo lwesikhiqizimathe;
papule ;;iqhubu;
parafunctional  ;;okusebenza ngokwehlukile;
partial denture;;amazinyokufakelwa angaphelele;
pathogenesis ;;uchungezehlakalo lwesifo;
pathology;;isifundo ngembangelasifo;
patients' rights (Khipha);;amalungelo eziguli;
pediatric dentistry/pedodontics;;umkhakha ngezamazinyo ezingane;
periapical;;okuzungeze umsuka;
periapical radiograph  ;;isithombemisebe sokuzungeze umsuka ;
pericoronal  ;;okuzungeze isicongo/ okuzungeze ikhrawni;
pericoronitis ;;ukuvuvuka kokuzungeze isicongo/ ukuvuvuka kokuzungeze ikhrawni;
periodontal  ;;okwezicubu ezizungeze amazinyo;
periodontal charting ;;ishadizilinganiso lokwezicubu ezizungeze amazinyo  ;
periodontal disease/ periodontitis ;;isifokuvuvuka sezicubu ezizungeze amazinyo;
periodontal ligament ;;umsipha ozungeze izinyo ;
periodontal pocket  ;;isikhala esiphakathi kwensini nezinyo;
periodontics  ;;umkhakha wezakhimazinyo;
periodontist  ;;uchwepheshe wezicubu ezizungeze izinyo;
periodontium  ;;izicubu ezizungeze amazinyo;
periradicular ;;okuyinzungezamsuka ;
permanent dentition  ;;amazinyo obudala;
philtrum ;;isibazo;
pin  ;;uphini;
pit ;;umgojana ;
plaque ;;ungcolonamfu;
polishing teeth ;;ukupholisha amazinyo ;
pontic  ;;izinyo lokwakhiwa;
porcelain/ceramic   ;;ubumbangxube;
post  ;;insika;
posterior ;;okwasemuva;
premedication  ;;ukwelashwakulungiselela;
premolar ;;isandulelabamba;
preventive dentistry  ;;isifundo ngezokuvikeleka kwamazinyo;
primary dentition   ;;abathakathi ;
primary health care;;unakekelo lwezempilo oluyisisekelo;
privacy;;ubumfihlo;
professionalism ;;ubungcweti;
prophylaxis ;;ukususa ungcolonamfu  ;
prosthesis  ;;isithokufakelwa;
dental prosthesis Subsection of prosthesis;;isithokufakelwa samazinyo;
fixed prosthesis ;;;
pulp (Khipha);;umongo ;
pulp cavity ;;isiqukathimongo ;
pulpectomy ;;ukukhishwa komongo;
pulpitis;;ukuvuvuka komongo;
pulpotomy  ;;ukukhishwa kwengxenye yomongo;
pulp polyp  ;;isimila emongweni;
pustule ;;iqhubu elinobovu;
quadrant  ;;ingxenye yamagumbimane;
radicular ;;okomsuka ;
radiograph  ;;isithombemsebe;
rebase ;;ukusekela kabusha;
receded gums;;izinsini ezihlehlile;
reline ;;ukuqondanisa kabusha;
removable partial denture ;;amazinyokufakelwa angaphelele akhiphekayo;
resin  ;;inhlaka;
resorption ;;ukuncibilika;
restoration;;ukubuyisela esimweni;
retainer;;isigcinimazinyo;
orthodontic retainer  ;;isigcinimazinyo esiqondisayo;
prosthodontic retainer ;;isigcinimazinyokufakelwa esibambelelisayo;
ridge ;;unqenqema;
root  ;;umsuka;
residual root;;;
root canal;;ingaphakathi lomsuka;
root canal therapy  ;;ingxubekwelapha yengaphakathi lomsuka ;
root planing  ;;ukuhlelenjwa komsuka;
rubber dam  ;;isivimbaketshezi;
salivary gland;;isikhiqizimathe / indlala yamathe;
scaler;;isiphali /isikhucululi;
scaling  ;;ukuphala /ukukhuculula;
sclerosis ;;isifo sokuqina kwezicubu;
scope of practice ;;umklamo womsebenzi;
sealant  ;;inhlakasivikeli;
sessile ;;isisekelosilonda;
sextant;;ingxenye yokuyisithupha;
socket ;;ingoxi;
social history;;umlandonhlalo;
soft palate;;ulwanga oluthambile;
space maintainer  ;;isigcinisikhala;
splint  ;;isisekeli ;
;;;
stomatitis  ;;uvuvukontwentwesi;
study model ;;insuselakuyo yokufunda/umfanekisomumo wokufunda;
;;;
subgingival scaling ;;ukuphala ngaphansi kwezinsini/ukukhuculula ngaphansi kwezinsini;
supragingival scaling  ;;;
;;;
;;ukuphala ngaphezulu kwezinsini/ukukhuculula ngaphezulu kwezinsini;
succedaneous tooth  ;;izinyo lobudala;
supernumerary tooth  ;;izinyo lokwengeza;
;;;
suture  ;;umthungo;
systemic ;;okomzimba ;
tartar;;uqweqwe;
temporomandibular joint (TMJ)  ;;inhlangana yenhlafunomhlathi ;
tender to percussion ;;ukuzwelakungqofwa;
tongue ;;ulimu;
;;;
dorsal surface ;;ingaphezulu lolimu;
ventral surface;;ingaphansi lolimu;
tooth;;izinyo;
toothache;;ubuhlungu bezinyo;
tooth extraction;;ukukhishwa kwezinyo;
toothbrushing ;;ukuxubha;
toothbrush;;isixubho;
toothpaste;;umuthi wokuxubha;
tooth reimplantation ;;ukubuyisela izinyo;
tooth whitening ;;ukwenza mhlophe izinyo;
tomography  ;;ithomografi ;
topical medicament;;umuthi wokugcoba;
torus ;;uqhubukushothambo;
tragus ;;igwagwana;
treatment plan  ;;uhlelo lokwelapha;
temporary restoration;;ukubuyisela esimweni okwesikhashana;
trismus  ;;ukunqindeka kokukhamisa;
;;;
tuberosity ;;ithambo eliqhoshile;
tumour ;;isimila;
ulcer ;;ilonda;
ulceration;;ukusikeka;
ultrasonic cleaner ;;umshinimsindo oyisihlanzimazinyo;
unerupted  ;;izinyo elingakaqhumi;
unilateral  ;;okohlangothilunye;
unilocular ;;okwendawoyinye;
urticaria ;;ukuqubuka;
uvula ;;ugovane;
veneer;;isembozo esihlobisile;
ventral ;;okungaphansi;
vesicle;; intshabusuku/ipanyaza;
vermillion border;;unqenqema lwezindebe;
whitening ;;ukwenzamhlophe;
wisdom tooth;;ibambamhlathi;
xerostomia  ;;inciphamathe;
x-ray ;;i-x-ray;
xylitol;;isishukelisi esingabolisi amazinyo;
zygomatic bone  ;;isiqhomo;
