decreasing sequence;ukulandelana okunciphayo;
definite integral;ibuyiselanguquko elinemikhawulo;
degree;isikalimayengela;
degree measure;isikalimayengela;
denominator;umehlukanisi;
density;uminyano/ukuminyana;
density function;Insizakusebenza yominyano/ insizakusebenza yokuminyana;
dependent variable;unonguqu oncikile/unonguqu oweyeme;
derivative function;insizakusebenza yenkombanguquko;
derivative;inkombanguquko;
determinant;inkombamthelela;
deviation;incezuko;
diagonal matrix;izinombolo ezivundlile;
differentiability;ukwahlukaniseka;
differential equation;isibalokulingana esinezihlukanisi;
digit;unambancane;
direct proportional;okulinganiseka ngqo;
disc method;indlelakwenza ngecwecwe;
discontinuity;ukunqamuka;
disjoint sets;amaqoqo angahlobene;
displacement;ibangangqo;
distance formula;inkambisokusombulula yebanga/ifomula yebanga;
distributivity;ukusabalaliseka;
divergence;okungenamkhawulo;
divergence test;Isivivinyo senqelelanamkhawulo;
divisible;okuhlukanisekayo/okucazekayo;
dodecagon;unxashuminambili/umacalashuminambili;
domain;iqoqo lononguqu abazimele;
dot products;umphumelakuphindaphinda onhlantathu ;
double integrals;ibuyiselanguquko elimpindakabili;
drag force;isidodobalisimfutho;
dummy variable;unonguqu oyisichuse/unonguqu oyilinge;
eigenvalue;okunobungako bolutho;
eigenvector;okunobungako nenkomba yolutho;
element;into/utho/ilunga;
ellipse;umbhoxo/isiyingi esisaqanda;
empty set;iqoqo elingenanto;
equation;isibalokulingana;
equiangular;okumayengela alinganayo;
equidistant;okumabanga alinganayo;
equilateral;okunhlangothi ezilinganayo;
equilibrium;isimokulingana;
error;iphutha;
error function [erf(x)];insizakusebenza yesilinganisokusondezela/i-erafankshini;
error propagation;ukuqhubeza okungenasiqiniseko;
even ;okungegweje;
even function;insizakusebenza elingana nhlangothi zombili;
exponential decay;ukuncipha kwenkombananikuphindwa;
exponential form;uhlobo lwenkombananikuphindwa;
exponential function;insizakusebenza yenkombananikuphindwa;
exponential growth;ukukhula kwenkombananikuphindwa ;
exponent;inkombananikuphindwa;
extrapolation;uqagulongaphandle;
factor;isakhisiphindaphindo;
factorial ;uphindaphindokuncipha;
factorisation;ukuthola isakhisiphindaphindo;
finite intervals;isikhawu esilinganiselwe;
focal axis;inkabamudwa enefokhasi;
focus;ifokhasi;
force;umfutho;
force of gravity;umfutho wendonselaphansi;
fraction;iqhezu;
frequency;1. izingakuvama;
frequency;2. izingamphindwa;
function;insizakusebenza;
general equation;isibalokulingana jikelele;
general solution;umphumelasixazululo jikelele;
general term;isimelelinombolo jikelele;
geometric mean;inombolomaphakathi ;
geometric series;uchungechunge olunenanisiqhathaniso;
geometry;izibalomidwebo/ijiyometri;
gradient;umqansa;
graph;igrafu;
simple harmonic motion;umnyakazo wemvumelwanomaza;
harmonic;imvumelwanomaza;
hexagon;umacalasithupha;
highest common factor;isakhisiphindaphindo esifanayo esiphezulu; 
histograms;umlandomidanti;
homogeneous;okumqondofana;
homogeneous differential equation;isibalokulingana esinezihlukanisi ezimqondofana ;
homomorphism;ukuhlobanisa kokungafani;
horizontal asymptote;insondelakungathinti evundlile;
hyperbola;ihayiphebhola;
hyperbolic cosecant;ikhosikhenti eyihayiphebhola;
hyperbolic cosine;ikhosayini eyihayiphebhola;
hyperbolic cotangent;ikhothanjenti eyihayiphebhola;
hyperbolic function;insizakusebenza eyihayiphebhola;
hyperbolic identity;ubunjalo behayiphebhola;
hyperbolic secant;isikhenti eyihayiphebhola;
hyperbolic sine;usayini oyihayiphebhola ;
hyperbolic tangent;ithanjenti eyihayiphebhola;
hypotenuse;uhlangothi olubhekene neyengelangqo;
identity matrix;isihlonzandawo sobunjalo ;
imaginary axis;isinganombolo;
implicit differentiation;ukwahlukaniseka okungenziwanga ngqo;
implicit function;insizakusebenza engenziwanga ngqo;
improper integral;isilinganisondawo esinomkhawulo ongafinyeleleki;
increasing function;insizakusebenza ekhulayo;
increasing sequence;ukulandelana okukhulayo;
indefinite integral;isilinganisondawo esingenamkhawulo;
independent variable;See argument;
indeterminate form;okungabaleki;
index;isikalanguquko;
inequality;ukungalingani;
infimum;umkhawulosiphethongqo;
infinite discontinuity;okungaqhubeki okungenamkhawulo;
infinite interval;isikhawu esingenamkhawulo;
infinite limit;isiphelo esingenamkhawulo;
infinite sequence;ukulandelana okungenamkhawulo;
infinite series;uchungechunge olungenamkhawulo;
infinity ;okungenamkhawulo;
inflection point;ejikeni;
injective function;insizakusebenza enokuqondana;
initial condition;umbandelasiqalo;
initial point;insukelakhona;
initial side of the angle;uhlangothimsuka weyengela;
initial-value problem;inkinga emsukeninani;
injection;See injective function;
inner product;See dot product;
inscribe;ukudweba ngaphakathi;
instantaneous acceleration;ukunyuka kwesivinini ngokuphazima;
instantaneous speed;ijubanekuphazima;
instantaneous velocity;isivininikuphazima;
integer;inombolo ephelele;
integral test;isivivinyo ngebuyiselanguquko;
integral (see anti-derivative);ibuyiselanguquko ;
integrand;i-inthagrendi;
integration (see anti-differentiation) ;uhlelokuthola ibuyiselanguquko;
integration by parts;uhlelokuthola ibuyiselanguquko ngezingxenye;
integration formula;inkambisokusombulula eyibuyiselanguquko;
intercept;ukugamanxa;
Intermediate-Value Theorem;Ithiyoremu yokutholakala komgamanxomvundlo;
interpolating;ukuqagulangaphakathi;
interpolation;uqagulongaphakathi;
intersection;ugamanxano;
interval of convergence;isikhawu sokukhula ngomkhawulo;
interval;isikhawu;
inverse;inhlanekezelo;
inverse function;insizakusebenza ehlanekezelayo;
inverse proportion;ubuginqigonqo;
invertible;okuhlanekezelekayo;
invertible function;insizakusebenza enokuhlanekezelekayo;
irrational number;inombolo engenzeki iqhezu  ;
isomorphism ;ukuhlobanisa kokuqondene;
kernel ;ukwehlisabunjalo;
kite;ikhayithi;
leading coefficient (term);ikhofishiyenti yokuqala;
limit;umkhawulo;
line segment;ingxenye yomugqa;
linear algebra;indidiyelompawuzinhlamvu yemigqa;
linear equation;isibalosilinganiso esiwumugqa;
line;umugqa ;
locally linear;ingxenyekuqonda yegobela;
logarithmic;okwenkombananikuphindwa;
logarithmic function;insizakusebenza yenkombananikuphindwa;
logarithm;inkombananikuphindwa;
lower bound;okunomkhawulosiqalo;
lowest common denominator;isihlukanisi esincane ;
lowest common multiple;isiphindaphindi esincane ;
major arc;ucezusiyingikazi;
major axis;Inkabamudwa enkulu;
minor arc;ucezusiyingana;
mathematics;indidiyelakubala/izibalo;
mathematical model;umfanekisomumo wendidiyelakubala/imodeli yendidiyelakubala;
 matrix;isihlonzandawo;
maximum;umkhawulosigcino;
mean value;isilinganiso senanimaphakathi;
measure;ubungako;
member ;ilunga;
minimum;umkhawulosiqalo;
minor axis;inkabamudwa encane;
minute;iminithi;
minute (angle);iminithi (leyengela);
modulus (of a number);See absolute value;
moment (of a force);umphumelamnyakazo womfuthomzungezo/imomenti;
moment of inertia;isisindokudonseka/i-ineshiya;
monomial;uhlangothilunye;
monotone function;insizakusebenza endlelanye;
monotone sequence;ukulandelana okundlelanye;
multiple;umphumelakuphindaphinda;
multiplier;isiphindaphindi;
multiplicand;isiphindaphindwa;
multiplication;ukuphindaphinda;
multiplicity;ukuphindaphindeka;
mutually exclusive;okungahlangani;
natural domain;ononguquqoqo bemvelo abazimele;
natural exponential function;(see exponential function);
natural logarithm;(See logarithm);
natural numbers;izinombolo ;
negative;okuncane;
negative direction;okunciphayo;
nonagon;unxasishiyagalolunye/umacalasishiyagalolunye;
non-negative number;inombolo engengaphansi kwegunqu;
