English Terms,English Definition,IsiZulu Term,IsiZulu Definition
Juristic person,,Umuntu ngeso lomthetho,
Juristic person,,into muntu,
Jus in re aliena (Limited Real Right),,Ilungelo elinomkhawulo,
Latent defect,,Isici esingabonakali,
Law,,Umthetho,
Law of civil procedure,,inqubomthetho yamacala ombango,
Law of criminal procedure,,inqubomthetho yamacala obugebengu/obulelesi/egazi,
Law reports,,Imiqulu yamacala,
Legal argument,,Impikiswano ngokomthetho,
Legal tender,,Indlela yokukhokha esemthethweni/Imali,
Legislation,,Umthetho oshicilelwe/Umthetho ophasisiwe,
Legitimacy crisis,,Ukwehlelwa isithunzi komthetho,
Liable,,Ukubophezeleka,
Litigants,,Izinhlangothi zecala/Ummangali nommangalelwa,
Locatio conductio operis,,Ukuqasha ungotimbonisi/ ukuqasha usomasu,
Locatio conductio operarum,,Ukuqashelwa ikhono okwesikhashana,
Locatio conductio rei,,Ukuqashisa ngesigqila,
Lunatic,,Uhlanya ,
Majority Judgement,,Isinqumo seningi,
Mandamant van spolie,,Indlela yokubuyisela impahla kumniniyo/i-Mandamant van spolie,
Master ,,Umthwasisi wabameli basemajajini,
Mediation,,Ukulamula,
Minority judgement,,Isinqumo sedlanzana/isinqumo sengcosana,
Multilateral contract ,,isivumelwano  esinhlangothiningi/Inkontileka enhlangothiningi,
National Law ,,Umthetho kazwelonke,
National legislation,,Imithetho eshicilelwe kazwelonke,
Negligence,,Ubudedengu,
Negotiation,,Ukubonisana/Ukuxoxisana,
Negotiation of a cheque,,Ukwedlulisa isheke,
Nomine Officio (NO),,Ngokwesikhundla sehhovisi,
Non-essential element,,Imfanelo engabalulekile,
Norms,,Izinkambisomgomo,
Notary,,Ummeli wezivumelwano/unothari,
Nuisance,,Isicefe,
Obiter dictum,,Ukuphawula kwenkantolo,
Obligation ,,Isibopho,
 Occupatio,,Ubunikazi ngokuzithathela,
Offer ,,Isiphakamisokuheha,
 Onus ,,okusemahlombe,
Oppose,,Phikisa,
Organisation Test,,Isivivinyo sokwehlukanisa ngokweqhaza/i-Organisation Test,
Outstanding condition,,Iqophelo elilindelekile,
Paralegal,,Isingammeli,
Parallel citation,,Inkombacala esemiqulwini eyehlukahlukene,
Parallel Transverse lines,,imigqa enqumayo elinganisene,
 Paternalism,,imvikelabantu,
Partners,,abalingani,
Participatory democracy,,intando yeningi embandakanyayo/Intando yabantu embandakanyayo,
Party,,Uhlangothi oluthintekayo,
Passing of risk,,Ukudluliselwa kwesimobungcuphe/Ukudluliselwa kwesimobucayi/ukudluliselwa kobungcuphe,
Penal jurisdiction,,amandla okugweba,
Pending matter,,icala elisadingidwa/icala elisacutshungulwa,
Plaintiff,,ummangali ecaleni lombango,
Plena in re Potestas,,Ukuqonda ubunikazi,
Policy,,Inqubomgomo,
Portfolio Committee,,ikomidi elikhethekile (Ephalamende) ,
Preamble,,Isandulelo/Isendlalelo/Isishayelelo,
Precedent,,Insukelakuyo/Intathelwakuyo,
Premier ,,Undunankulu ,
Prescriptio,,Intolabunikazi/ukuthola ubunikazi,
Prescription,,Ukubola kwesikweletu,
President,,umengameli/umongameli ,
Presiding officer,,Umehluleli/umahluleli ( Ijaji/Imantshi ) ,
Presiding officer ,,Umehluleli/umahluleli  ,
Principal thing,,Ingxenye enkulu/ingxenye ewumgogodla,
Principle,,Umgomo,
Private Law ,,Umthethobudlelwane kubantu,
"
 Private sector
,,Umkhakha ozimele,"
 Pro bono,,Usizo lomthetho lwamahhala,
Public defender,,Ummeli kahulemeni (wesihle),
Public Law,,umthethobudlelwane kubantu nohulumeni,
 Public protector,,Umvikeli womphakathi/Umvikelimphakathi,
 Public Sector,,Umkhakha kahulumeni,
 Publish,,Shicilela/ Dalula,
pupilage,,Ukuphothulela  ubumeli basemajajini,
prodigal ,,Umsaphazi/Umhlaphazi,
Ratio decidendi,,okubophezelayo esinqumweni,
Reciprocal contract ,,isivumelwano esinesibophezelo sokunikezelana/ Inkontileka yokunikezelana,
Reciprocal Duty ,,Isibophokusizana/isibophokondlana,
Registrar,,umabhalane omkhulu,
Rei vindicatio,,Imvikelabunini,
Religion ,,inkolo,
Religious Marriage,,umshado ngokwenkolo,
Remuneration ,,Umvuzo/Iholo/Inkokhelo,
Reported court case,,Icala elishicilelwe,
Representative democracy,,Intando yeningi enokumeleleka/intando yabantu enokumeleleka,
 Res Alicuius,,into enobunikazi,
Res Deperditae,,Into yomuntu emlahlekele,
Res Derelictae  ,,Into yomuntu ayilahlile,
Res Extra Commercium,,into engenakuba namnikazi,
Res in Commercio,,into enomnikazi,
Res Nullius,,into engenamnikazi,
Res Omnium Communes,,Into yabantu bendawo/into yezakhamuzi,
Respondent ,, Ummangalelwa (irispondenti),
Res Publicae,,into yomphakathi,
restitutio in intergrum,,ukubuyisela ,
Res Universitatatis,,into yenkampani,
Risk,,Ubungcuphe/Ubucayi,
Rule,,umthetho,
Rule of Law,,Ukusebenza komthetho,
State legal advisor,,Umeluleki kahulumeni kwezomthetho,
Statute,,umthetho oshicilelwe,
Statutory arbitration,,Ukwahlulela okuphoqwe ngokomthetho,
statutory illegality ,,Ukwephulwa kwesivumelwano ngokomthetho oshicilelwe,
Sterility,,Ubufaba,
Sue,,ukumangalela/ukufaka isimangalo,
Supreme law,,Umthetho omkhulu,
tacitly,,Ukukhombisa ngezenzo,
The Bar,,Inhlangano yobammeli basemajajini,
The roll of attorneys,,Uhlu lwabameli,
Tradictio,,Ukwedlulisela,
Transcript/Transcription,,Okuqoshiwe/Ukubhalwa kokuqoshiwe,
Transfer of ownership,,Ukudluliselwa kobunini/kobunikazi/Ukwedlliselwa kobunini/kobunikazi,
Transfer of right,,Ukudlulisela ilungelo/Ukwedlulisela ilungelo,
Treason,,Ukuvukela umbuso,
Trial,,ukuqula icala/ukuthetha icala,
Trust account,,Isikhwama esenganyelwe/ I-Akhawunti eyenganyelwe,
Unilateral contract,,isivumelwano esinokubophezela soyedwa/Inkontileka yoyedwa,
Usus and Habitatio,,Ukusetshenziswa komhlaba,
Eviction order,,Umyalelo wokuxosha/umyalelokuxosha,
Valid,,Okwamukelekile ngokusemthethweni,
Values,,Izimiso,
void,,okungamukelekile ngokusemthethweni,
voidable,,okunokuchithwa ngokusemthethweni,
White paper,,Uhlaka lwesibili lomthetho,
wreck,,Izingcucu zomkhumbi,
Xenophobia,,Ukwesaba okwezizwe,
Special court,,Inkantolo Ekhethekile,
Reasonable,,Okungalindeleka,
Reasonable person,,Owenza okungalindeleka,
