exact;ncimishi/ncamashi;
example;isibonelo;
exothermic;okuphathelene nokukhipha ukushisa;
expansion;ukwanda;
experiment;Ilingasenzo/i-ekspirimenti;
explicit;okucacile;
exponent;inkombananikuphindwa;
expressed;okukhanyiwe;
factor;1. isakhisiphindaphindo 2. umthelela;
FALSE;okungeyikho;
ferromagnet;isingamazibuthe;
fibre;ihhadlaziso;
field;inkundlazwelo;
figure;1. inombolo 2. isithombe/ umdwebo;
filament;ifilamenti/okusacingwana;
film;ifilimu;
filter;1. isicwengi/ihluzo 2. ukucwenga ;
final;okokugcina;
fission;umcucuzeko;
flow;-geleza/-shweza-hamba;
fluid;ingeleza/ifluwidi;
fluorescent;okumbalambala;
flux;ukuflaksa/ ukugelezisa;
focus;ukugxila/injongo;
force;ifosi;
formula;ifomula;
fraction;iqhezu;
frame;-qalisa utho/-bumba utho;
free-fall;ukuwakwehla;
freeze;ukwenzaqhwa;
frequency;izingampindwa;
friction;ukuhhudlana/ ukugudlana;
fringe;insephe;
fulcrum;ifalkhramu;
function;1. inguquko encikile   2. ifankshini;
fundamental;okuyisisekelo; 
fusion;ukushisela;
galaxy;umthala;
galvanometer;igalvanomitha;
gamma ray;umsebe i-gamma;
gas;igesi;
general;okuvamile/ okungena ezintweni eziningi;
geometry;ijiyomethri;
geosphere;ijiyosfiye;
geostationary;okubukeka kumile emkhathini;
gluon;igluwoni;
gradient;ukuthambekela/ukwehlela/ ukwenyukela;
grating;ukuhlohloza;
graviton;igravithoni;
gyrate;zungeza/zongoloza/jikeleza;
gyroscope;isizungezandawonye;
hadron;ihadroni;
harmonic;okokuzungezayo;
heat;ukushisa;
hemisphere;ingxenyemhlaba/ ihemisfiye;
hexagon;umacalasithupha/unxasithupha;
hologram;ihologremu;
horizontal;okuvundlile/okunqume kabili;
hydrogen;ihayidrojini;
hydrosphere;ihaydrosfiye;
hyperbola;ihayphabhola;
hypotenuse;ihayphothenusi;
hypothesis;umbono ongakafakazelwa/umbonosiqagelo/uhlahloqagelo/ihayiphothesisi;
hysteresis;ukusilela/ihisterisisi;
illuminate;-khanyisa/-khanya;
image;1.isithombe    2.umfanekiso;
imaginary;isicatshangelwanombolo/isicatshangelwanani;
impedance;ukuthiyeka kukagesi;
