English Term,English Definition,IsiZulu Term,IsiZulu Definition
epilepsy ,,isithuthwane/ amangongwane ,
subarachnoid haemorrhage,,ukopha kwengezansi lolwebu olumaphakathi nobuchopho ,
bacterial meningitis,,igciwane elivuvukalisa ulwebu lobuchopho,
chemotherapy ,,ukwelapha ngamakhemikhali/ ikhimotheraphi ,
post operative care,,unakekelo  emva kokuhlinzwa ,
preoperative care ,,unakekelo  ngaphambi kokuhlinzwa,
the gastro intestinal system, liver and biliary tract,,uhlelo lomgudu wokudla,
chyme (chymus) ,,ukudla okungaqedi ukugayeka,
bolus ,,umthamo / ibholasi ,
mastication (chewing) ,,ukuhlafuna ,
dysphagia ,,ukugwinya kanzima ,
hernia ,,isibhono/ umbhumu ,
gastroesophageal reflux disease (gerd),,isifo sokuyokoza/ igerd  ,
gastric inflammation ,,ukuvuvukala kwontwentwesi  lwesisu,
dumping syndrome ,,ukungagayeki kahle kokudla emva kokuhlinzwa,
pylorus stenosis ,,ukuvaleka kwengxenye yesisu ,
malabsorption syndrome ,,ukungamunceki kahle kokudla,
appendicitis,,ukuvuvukala kwethunjana elixhumene nethumbu lokugcina/ ukuvuvukala kwe-aphendiksi,
cirrhosis ,,isifo sokuqina kwesibindi ,
heamorrhoids,,ukuvuvuka kwemithambo yomdidi/ amaphayilizi,
jaundice ,,ukushintsha kombala wesikhumba ube phuzi/ ijondisi,
pancreatic pseudocyst,,isingasigaxa samanyikwe,
hepatitis ,,ukuvuvukala kwesibindi ,
ascites ,,amanzi amaningi ngokweqile esiswini,
cholelithiasis ,,amatshe asenyongweni,
cholecystectomy ,,ukususwa kwesikhwama senyongo,
pancreatitis ,,ukuvuvukala kwamanyikwe  ,
