English Term,English Definition,IsiZulu Term,IsiZulu Definition
dosage ,,isilinganiso somuthi,
ectopic pregnancy ,,ukukhulelwa okungekho esibelethweni / ukukhulelwa emashubhini  ,
ejaculate ,,ukuthunda,
elimination  ,,1.ukususa 2.ukukhipha,
emergency medical treatment ,,ukwelashwa okuphuthumayo,
endemic ,,isifo esigxile esizindeni esithile,
enema ,,uchatho,
environment ,,isimo sendawo/isimonhlalo,
epidemic ,,ubhubhane/umashayabhuqe wesifo,
epidemiology ,,isifundo  ngembangela nokusabalala kwezifo/i-ephidemiyoloji ,
epidemiologic triangle ,,unxantathu oyimbangela nokusabalala kwezifo ,
epidemiologist ,,ungoti wezifundo wembangela yokusabalala kwezifo / umcwaningi nge ephidemiyoloji.,
erection ,,ukuvuka kwenduku / ukuvukelwa,
oestrogen ,,isigqa esiyinkombabulili kowesifazane,
etiology ,,imbangelasifo ,
evaluation ,,ukucubungula,
expectoration ,,ukukhwehlela kuphume izikhwehlela,
exposure ,,ukungavikeleki,
extended family,,uzalo ,
factors ,,izinkomba ,
family ,,umndeni ,
family health ,,impilo yomndeni,
family health assessment ,,ukuhlolwa kolwazi ngempilo yomndeni,
family planning ,,ukuhlela umndeni,
familiarisation ,,ukuzijwayeza,
fertility ,,ukuba nenzalo,
fibre ,,umhhadlahhadliso /ukudla okugqakazekile/ ifayibha ,
flaccid ,,okuyethile/okungaqinile,
flea ,,izenze ,
foetal mortality ,,ukufa kwemibungu ,
food storage ,,ukulondolozwa kokudla/ ukugcinwa kokudla,
folic acid and foliate ,,ivithamini yohlaza/ ivithamini etholakala ohlazeni ,
foster family  ,,isingamndeni,
fume ,,isihishi ,
fungi ,,isikhunta,
generic medicine/ drug ,,ifuzamuthi,
genetic ,,okuphathelene nofuzo/ okuwufuzo,
gangrene ,,ukufa kwezicubu/ igangrini,
geographically bound communities ,,imiphakathi ehlukaniswe ngokwezindawo,
geographically location gender  (gender location) term needs to be reviewed,,ukuhlukanisa ngokobulili ,
genital herpes ,,amashashazi esithweni sangasese (isifo socansi),
genital warts ,,izinsumpa esithweni sangasese (isifo socansi),
genograms ,,umlandompilo wozalo / impilomlando yozalo ,
gestation ,,isikhathi sokukhulelwa,
gland ,,indlala,
gonorrhea ,,isipatsholo/idrophu/ibuba (isifo socansi),
gout ,,igawuthi ,
habit ,,umkhuba/ inkambiso/isijwayezi ,
health ,,impilo,
health education ,,ukufundisa ngezempilo,
health related survey studies ,,ucwaningo ngezempilo ,
syphilis ,,ugcusula/ ugcunsula (isifo socansi),
health promotion ,,ukukhuthaza ngezempilo/ ukugqugquzela ezempilo,
haemorrhagic ,,okunokopha/ okokopha ,
haemorrhagic fever ,,umkhuhlane onomopho   ,
hepatitis  b,,ukuvuvukala kwesibindi (isifo socansi)  ,
herbalist,,usomakhambi ,
hereditary ,,okufuzisayo ,
 herpes virus simplex type i ,,izilonda zomkhuhlane ,
 herpes virus simplex type ii: mainly associated with genital herpes and is sexially transmitted.,,amashashazi esithweni sangasese  (isifo socansi),
heterogeneity ,,ukwahlukahlukana/ubunhlobonhlobo ,
heterosexual ,,othanda ubulili obuhlukile ,
historical heritage ,,amagugumlando,
homeostatic ,,izingasimo elizinzile ,
hyperventilation ,,ukubefuzela/ukuphefumulela phezulu/ukuhefuzela,
homosexual family ,,umndeniwezinkonkoni/umndeni wongqingili/umndeni wezitabane,
hormone ,,isigqa/ ihomoni ,
host ,,okwamukelayo,
