English Terms;English Definition;IsiZulu Term;IsiZulu Definition 
drug chemistry section;;uphiko lokucutshungulwa kwemithi;
drug standards inventory;;uhlumininingwane  lwamazingaqophelo obudakamizwa ;
drug-defined crimes;;amacala aqondene nezidakamizwa ;
drug-related crimes;;amacala ahlobene nezidakamizwa;
drunkenness;;ubudakwa;
elder abuse;;ukuhlukunyezwa kwabadala;
electrophoresis;;i-elekhtroforesisi;
elements of a crime;;iminxa yecala;
ethnography;;ukuchazwa kwezizwe/ i-etinografi;
embezzlement;;ukukhwabanisa;
empathy;;umzwelo;
enforcement;;ukulandelelwa komthetho;
environmental criminology;;isifundo sobugebengu ngokwendawo;
equivocal death;;imbangelakufa engahlonzekanga;
error rate;;isilinganisozinga samaphutha;
essential;;okudingekayo/ okusemqoka;
evidence;;ubufakazi;
evidence inventory;;uhlumininingwane lobufakazi ;
evidence submission form;;ifomu lokuletha ubufakazi;
evidence transfer;;ukwedluliswa kobufakazi/ ukwedlulisela ubufakazi;
evidence vault(s);;indawokazi evikelekile yokugcina ubufakazi/ivolthi yobufakazi;
examinations (evidential);;ukuhlola (ubufakazi);
examinations (training);;ukuhlola (ukuqeqesha);
exception;;okuhlukile;
exceptional force;;amandla angavamile;
exclusionary rule;;umthetho wokuchithwa kobufakazi;
exhibitionist;;imvezazitho/ umvezazitho zangasese;
exploitation;;ukuxhaphaza;
exsanguination;;ukopha uze ufe/ ukophafe;
external proficiency test;;isivivinyo sekhono sangaphandle;
false negative;;ukungaveli kokukhona;
false positive;;ukuvela kokungekho;
fear of crime;;ukusaba ubugebengu;
felony;;icalambi/ ifeloni;
felony murder;;icalambi lokubulala ;
feminist criminology;;isayensi yezobugebengu ngokwemvunamanina/ ngokwefeminizimu;
field identification;;inhlonzwandaweni;
field identification;;ukuhlonzwa komsolwa endaweni yesigameko;
fingerprints ;;amanyela eminwe;
fingerprint identification;;ukuhlonzwa kwamanyela;
fire debris;;izinsalela zokushile/ imfucuza yokushile;
firearms and toolmarks section;;uphiko lobufakazi bezikhali;
first degree murder;;ukubulala ngenhloso;
flipping;;ukudayisa ngokushesha;
forcible rape;;ukudlwengula ngendluzula;
forensic;;uphenyonzulu;
forensic audit;;uphenyonzulu ngemininingocala;
forensic anthropology;;uphenyonzulu ngemvelaphi yabantu;
forensic biology;;uphenyonzulu ngokuphilayo;
forensic entomology;;ukuhlolwa kwezilwanyana ezisesidunjini;
forensic pathology;;uphenyonzulu lwembangelakufa ;
forensic psychiatry;;uphenyonzulu lwezengqondo;
forensic science;;isayensi yophenyonzulu;
forensic science;;isayensi yokuhlonza ubugebengu;
forensic toxicology;;isifundo ngoshevu;
forgery;;umbhalokukhwabanisa/ukufoja;
forgery and counterfeiting;;ukufoja nokwenza isingabunjalo;
found property;;impahla etholiwe;
fourth amendment ;;isichibiyelo sesine;
fraud;;ukukhwabanisa;
fruit-of-the-poisonous-tree doctrine;;ukungavunyelwa kobufakazi obutholakale ngokungemthetho;
frustration-aggression theory;;injulalwazi/ ithiyori yolakandikibalo;
gambling;;ukugembula;
gas chromatography;;ikhromathografi yegesi;
gel;;ubiki/ijeli;
general deterrence;;isigwebosifundo;
genetics;;isifundo ngezofuzo;
goal;;inhloso;
good analytical practice;;inqubo yohlaziyo olukahle;
good faith doctrine;;inkambiso yokwethembeka (ukuvunyelwa kobufakazi obutholakale ngokungemthetho);
good laboratory practice;;inqubonhle yaselabhorethri;
grand larceny;;ukweba/ukuntshontsha into ebizayo ;
guilty act;;isenzo esiyicala;
guilty mind;;inhlosokuganga;
habitual offender statutes;;imithetho elawula omacaleni;
hate crime;;icala ngenzondo;
hedonistic calculus or utilitarianism;;inzwamuzwa ngokwenza icala;
hidden crime;;ubugebengu obungaqoshiwe;
high crime;;ubugebengu obunyantisayo;
histology;;ucwaningozicubu;
home invasion;;ukuhlaselwa kwekhaya ;
homicide;;ukubulala umuntu;
hostage situation;;umvalelokuthumba;
hot crime scene;;indawo yesigameko engaphazanyisiwe;
hybrid offence;;icala elinemixhantela;
hypostasis;;umzikagazi;
hypothermia;;ukwehlazingakushisa komzimba;
integrated ballistics information system (ibis);;isizindamininingo sezezibhamu/i-ibis;
id;;inxanela;
illegitimate opportunity structures;;izindlelambi zokuziphilisa ;
incarceration ;;ukuboshwa;
incapacitation;;ukujezisakunqinda;
incest;;ubugangane/ukulalana kwezihlobo;
inchoate crime;;umbikezelobugebengu;
indictable offence;;icala elibucayi;
indirect question;;umbuzo ogigiyelayo ;
inevitable-discovery doctrine;;inkambiso yobufakazi obungagwemeki/ubufakazi obebuzovela ;
infamous crime;;ubugebengu obudume kabi/okuthunazayo;
inference;;insuselwakuhlaziya;
informant;;umnikilwazi;
inspection;;ukuhlola ;
intelligence;;ubuhlakani;
intelligence quotient;;inkombabuhlakani;
internal proficiency test;;isivivinyokhono sangaphakathi/i-ipt;
interrogate;;ukugwenxa/ukupheka ngemibuzo;
interrogation;;ukugwenxa/ukuphekwa ngemibuzo;
interview;;imposambuzo;
inventory;;uhlumininingwane;
investigate;;ukuphenya;
involuntary manslaughter;;ukubulala ngokungenhloso;
just deserts;;ukuqinisekiswa kobulungiswa;
justification ;;ukuzithethelela;
justifiable homicide;;ukubulala okunesizathu esizwakalayo;
juvenile sex offender;;isaphulamthetho sezocansi esiyingane;
known sample;;isampula elaziwayo;
known standard;;izingaqophelo elaziwayo;
labeling;;insicizo/ukulebula;
labelling theory;;injulalwazi/ithiyori yensicizo;
laboratory;;ilabhorethri;
laboratory director (or administrative) case file review;;ukubuyekezwa kwefayela lecala ;
laboratory personnel;;izisebenzi zaselabhorethri;
laboratory support personnel;;abasizi baselabhorethri;
laboratory system;;uhlelo lwaselaborethri;
laceration;;umsikeko;
larceny;;ukweba/ukuntshontsha;
leading question;;umbuzompendulo;
learning theory;;injulalwazi yokufunda;
left realism ;;injulalwazi yabaphikisayo;
legalization;;ukwenza kube semthethweni;
life course theories;;injulalwazi/ ithiyori yezimo zempilo;
limited access;;inkethabangeni;
lineup identification;;ukukleliswakuhlonza;
liquor laws;;imithetho yophuzo oludakayo;
loop (fingerprint pattern);;isisuka samanyela esandla;
macrophotography;;ukwelula amanyela esandla;
mafia;;isishomo sezigebengu/inhlangano yezigebengu imafiya;
maltreatment;;ukuhlukumeza;
manner of death;;imfakanjani/ indlela yokufa;
manslaughter;;ukubulala ngokungenhloso;
mass spectrometer;;isikali/inhlaziyi mamolekhyuli;
mass spectrometry;;isukuhlaziya amolekhuli;
material evidence;;ubufakazi obuqondene/obuphathelene;
material photograph;;isithombe esiqondene/esiphathelene;
medical examiner;;udokotela;
memory decay;;ukwehlakukhumbula/imfiphalakukhumbula;
memory error;;ukukhumbula okungeyikho/ iphutha ekukhumbuleni;
memory and encoding-related multifaceted electroencephalographic response (mermer);;i-mermer;
method;;indlelakwenza;
miranda warning;;isazisosixwayiso;
misdemeanor;;icadlana;
moral economy ;;ezomnotho ezinobulungiswa;
modus operandi (mo);;indlelakwenza ;
money laundering;;ukugeza imali yobugebengu;
murder;;ukubulala ngenhloso;
murder;;ukubulala;
murderer;;umbulali;
national dna index  system) ndis;;uhlu locwaningofuzo lukazwelonke/i-ndis;
neglect;;ukunganakekeli;
negligent homicide;;ukubulala ngobudedengu;
neighbourhood watch;;abaqaphimizi;
neoclassical criminology;;isifundo sembuyisandulo kwezobugebengu ;
no-knock warrant;;igunya lobundlovuyangena;
non-verbal communication;;ukuxhumana buthule/ ngezimpawu;
notes;;amanothi;
objective;;injongo/inhloso;
offender;;isephulamthetho;
offender management;;ukuphathwa kweziphulamthetho;
offenses against the family and children;;amacala abhekiswe emndenini nezingane;
official criminal statistics;;izibalomdanti zobugebengu ezimthethweni;
open proficiency test;;isivivinyokhono esidaluliwe ;
open tail;;ukulandela ngokungacashi/bukhoma/isidanasi;
operations manual;;ibhuku lemiyalelo;
opinion;;umbono;
ordinance;;umthetho kamaspala/i-odinensi;
organized crime;;ubugebengu obuhleliwe;
parallel proceedings;;izinhlelo ezihambisanayo;
paranoid schizophrenics;;abagula ngengqondo;
participant observation;;ukubheka ababambiqhaza;
passive crime scene;;indawo yesigameko engasenabufakazi;
paedophile;;othanda ucansi nezingane;
peer;;untanga;
penology ;;isifundo ngezigwebo;
performance audits;;uhlaziyokusebenza;
petty larceny;;ukweba/ukuntshontsha okungatheni;
physical abuse;;ukuhlukumeza ngokomzimba;
plain-view evidence;;ubufakazi obusobala;
plea bargaining;;umthambisasigwebo ngokuvuma icala;
police;;umbutho wezamaphoyisa;
policing;;ukuqapha;
policy;;inqubomgomo;
population;;1.      iqoqo  2.      abantu;
post-crime victimization or secondary victimization;;ukuhlukumezeka emuva kwesigameko/ ukuba yisisulu emuva kwesigameko;
postmortem;;ukuhlolwa kwesidumbu;
postmortem lividity;;ukuguquka kombala wesidumbu/ukugqunqa kwesidumbu;
power-control theory;;injulalwazi yamandlakulawula;
prejudice ;;ukuchema;
presumptive evidence;;ubufakazi obukholekayo;
prima facie ;; okusobala;
primary deviance;;isiqalo sokuganga;
principle;;umgomo;
probability;;okungenzeka;
probable cause;;okungaba isisusa;
problem drug use;;inkinga yokusebenzisa izidakamizwa;
procedure;;inqubo;
process development;;ukulandelwa kohlelokwenza;
proficiency test;;isivivinyokhono;
profiling;;uqagulobunjalo/uqagulohluso;
proper seal;;isivalongqo;
quality assurance;;ukuqinisekisa izingabunjalo;
quality audit;;uhlaziyo lwezingabunjalo;
quality control;;ukulawulwa kwezingabunjalo;
quality manager;;imenenja yezingabunjalo;
quality manual;;ibhukwana lezingabunjalo;
quality system;;uhlelo lwezingabunjalo;
quarles decision;;isinqumo ecaleni lika-Quarles (ukuphequlula okungagunyaziwe);
race;;uhlanga;
racism;;inkolelokucwasa ngokobuhlanga;
racism ;;ukucwasa ngokobuhlanga;
racist violence;;indluzula/udlame ngokobuhlanga;
radical criminology;;isifundo sezobugebengu ngokwenhlalompilo;
raid;;ukugasela;
random;;okungahleliwe;
rape;;ukudlwengula;
rational choice theory;;injulalwazi yesizathukukhetha/injulalwazi yokukhetha ngesizathu;
reagent;;imvukuzakwenza( isithako);
reagent blank control  ;;imvukuzakwenza ;
recidivism;;ubumpindabugebengu/ukuphindela ebugebengwini;
recidivism rate;;isilinganisozinga bumpindabugebengu/kuphinda bugebengu;
recreational drug use;;ukusebenzisa izidakamizwa ngenhloso yokungcebeleka;
rectangular-coordinate;;izikhonkwane zikanxande/unxande wesithombesenzeko;
re-examination technique;;isu lokuhlola kabusha;
reference standard;;izingankomba;
rehabilitation;;ukuhlunyeleliswa kwesimilo;
reintegrative shaming;;inhlazisasenzo;
relevant evidence ;;ubufakazi obuqondene/obuphathelene;
reliability;;ukwethembeka;
reliability;;ukwethembeka;
remote data terminal;;isithwebulimininingwane endaweni yesigameko;
report;;umbiko;
reparation;;isinxephezelo sikamgilwa;
res gestae statement;;ukuphendula ngaleso sikhathi/isitatimende sangaleso sikhathi;
residential robbery;;ukubamba inkunzi ezindaweni zokuhlala;
restitution;;1.ukubuyisela  2.ukunxephezela;
restorative justice;;ubulungiswa bokubuyisela esimweni;
retinal hemorrhage;;ukopha ontwentwesini lweso;
retribution;;ukuziphindisela;
reward;;umhlomulo;
rigor mortis;;ukuqina kwesidumbu;
risk assessment;;ukuhlolwa kobungcuphe;
risk factors;;izimo eziwubungcuphe;
risk management;;ukulawulwa kobungcuphe/ukulawula ubungcuphe;
robbery;;ukubamba inkunzi;
root cause analysis;;uhlaziyo lomnyombosisusa ;
routine activities theory or life-style theory;;injulalwazi yendlelakuphila;
rule;;umthetho;
runaway (persons under age 18);;umdlwembe;
safe;;isisefo;
safety & security inspections;;ukuhlola ezokuphepha nezokuvikela;
satellite laboratory;;ilabhorethri ewuphiko;
scene;;indawo yesigameko;
science;;isayensi;
scientific method;;indlela ngokwesayensi;
scientist;;usosayensi /ungoti wezesayensi;
search;;ukuphequlula/ukusesha;
search patterns;;izinhlelondlela zokuphequlula;
second-degree murder;;ukubulala ngokungenhloso okunesihluku;
section evidence area;;indawo yobufakazi evikelekile;
secure area;;indawo evikelekile;
seminal;;okuphathelene necena (labesilisa);
serial murder;;ukubulala kuphindelelwa;
serology;;isifundo sohlolofuzo;
sexual offence;;icala lezocansi;
sexual offending;;ukuhlukumeza ngokocansi;
shoplifting;;ukweba/ukuntshontsha esitolo;
self-defence;;ukuzivikela;
shrinkage;;ukunyamalala kwempahla;
simple assault or battery;;ukushaya;
situational crime prevention;;ukugwema ubugebengu ngokwesimo;
slamming;;ukuguquka okungagunyaziwe kwabahlinzekimsebenzi;
sliding;;ukuguquka kwendlela yokuxhumana okungagunyaziwe;
smash-and-grab;;uphihlithatha/uphihlihlwitha;
social control;;ulawulonhlalobantu;
social control theory;;injulalwazi yolawulonhlalobantu;
social disorganization theory;;injulwazi yenhlukanonhlalo ;
social exclusion;;ukubandlululeka ngokwesimo senhlalo;
social interactionism;;injulalwazi yenhlalobantukuxhumana;
social learning theory;;injulalwazi yokufunda ngenhlalobantu;
social problems perspective;;imibono ngezingqinamba ngenhlalobantu;
sodomy;;isodomi;
solvability factors;;izinsizakusombulula (ezisemqoka);
solvent;;isincibilikisi;
spatter;;amachaphazelo egazi;
spousal assault (also called domestic assault or intimate partner violence);;ukuhlukumezana kwabaganene;
stalker;;olandela sakuzingela/ istokha;
standard;;izingasimo/iqophelo;
statement;;isitatimende;
statutory crime;;icala ngokomthetho oshicilelwe/omisiwe;
statutory rape;;icala lokudlwengula ingane/icala lokulala ingane;
stippling;;umsizi wesibhamu;
stockholm syndrome;;ingxubezimpawu i-stockholm (ingxubezimpawu yokuzwelana nomthumbi);
stolen property;;impahla entshontshiwe;
