clavicle,,inqwababa,;
cliniod,,uthambonxande,;
clitoris,,umsunu ,;
clivus,,unomgingqilizana ,;
cloaca,,undununye,;
coccyx,,igonondo / ithambo lomsila,;
cochlea,,insizakuzwa,;
coli,,okukapopopo,;
collateral,,insizamthambo,;
colli,,okwentamo ,;
colliculus,,igqunyana ebuchosheni,;
colon,,upopopo,;
comitans,,imithanjana eyizimpelesi,;
commissure,,insebenziswanomizwa exhumene,;
concha,,amashalofu ekhala,;
condyle,,ikhanda lethambo edolweni/ikhondayili,;
congenital,,ozelwe nakho,;
conjuctiva,,untwentwesi olwemboza ilihlo/iso,;
conoid,,okumise okwekhoni,;
coracoid,,okumise okwegwababa,;
corium,,isikhumba,;
cornea,,untwentwesi lwenhlamvu yehlo,;
corniculate,,okusaphonjwana,;
cornu,,uphondo,;
corona,,umqhele,;
coronary,,okujikeleza njengomqhele,;
coronoid,,okunjengomqhele,;
corpus,,umzimba,;
corpuscle,,izinhlayiyana zegazi,;
corrugator,,isakhamvingqana,;
cortex,,igobolondo ,;
costa,,ubambo,;
cranium,,ugebhezi,;
cremaster,,isidonsamasende/ isikhuphulamasende,;
cribriform,,okusasisefo,;
cribrosa,,okusasisefo,;
cricoid,,okusandilinga,;
crista,,isiqhova/isihloko/isidlodlo,;
cruciate,,okusasiphambano,;
crus,,umlenze/ isitho,;
crypt,,okufihlekile,;
cubital,,indololwane,;
cuboid,,okufana nekhyubhu,;
cumulus,,ingqumbi,;
cuneate,,ucezu olucijile,;
cuneiform,,okumise okocezu,;
cupola,,isiqhovana,;
cusp,,ikhasphu,;
cutaneous,,okuphathelene nesikhumba,;
cyst,,okuyisikhwanyana,;
1.cyto- ,,1. isiqalo esiphathelene nezicutshana eziphilayo,;
2. -cyte,,2. isijobelelo esiphathelene nezicutshana eziphilayo,;
dartos,,ukuhlinza isikhumba,;
decussation,,insebenziswanomizwa eyimpambano,;
deferens,,intubelezisasidoda,;
deglutition,,ukugwinya,;
dehiscence,,ukuqhuma komthungo,;
dendrite,,imizwa emagatshagatsha,;
dens,,izinyo,;
dentate,,okuqhoshe njengezinyo emzimbeni,;
