English Term ;English Definition ;IsiZulu Equivalent;IsiZulu Definition
developmental life-span model;insuselakuyo yokukhula impilo yonke;;
deviant behaviour;ukuziphatha okugwegwile;;
diagnosis;Inhlonzasimo;;
difference ;Umehluko;;
differentiation;Ukwehlusa;;
disability ;Ukukhubazeka;;
disadvantaged community;umphakathi oncisheke amathuba;;
disaster fund ;isikhwama sezinhlekelele;;
disclosed adoption;igunyabuzali elidaluliwe;;
disclosure;ukudalula;;
discrimination;ubandlululo;;
disempower;ukuphuca amandla;;
disorder;ukuphazamiseka;;
disposable income;imali engasebenziseka;;
dispossess;ukuphuca;;
disrepute;ihlazo;;
distribution;ukwaba;;
diversion program ;uhlelo lokugweba kuhlumelelisa ;;
diversity;ukwehlukahlukana;;
divinity;ubungcwele;;
divorce mediation;ukuxhumanisakulamula abahlukanisayo;;
domestic violence;udlame lwasekhaya;;
drop in centre;isikhungo sabahlukumezekile;;
drug;isidakamizwa;;
drug abuse;ukusebenzisa izidakamizwa ngokweqile;;
drug policy;inqubomgomo yezidakamizwa;;
drug trafficking;ukushushumbiswa kwezidakamizwa;;
dual relationship;ubudlelwano obumbaxambili;;
duty to warn;isibopho sokuxwayisa;;
ecological perspective;indlelakubuka ngempilandawonye;;
ecomap;ibalazwe lezinsizakuphila;;
ecosystem;impilandawonye;;
educator;umfundisi;;
efficacy;inkiphamphumela elindelekile;;
ego;ukuzazi/ukuzizwa;;
ego strength;amandla okuzazi;;
egocentricity;ubumina/ubuwena;;
eligibility criteria;izindlela zokufaneleka;;
embeddedness  ;ukugxumekeka/ukubophezeleka;;
emotion;umuzwa/umoya;;
emotional dependence;ukuthembela komunye ngokomuzwa/ngokomoya;;
emotional distance;ukuqhelelana ngokomoya/ ngokomuzwa;;
emotional reflexivity;ukuzihlola ngokomoya/ ngokomuzwa;;
emotional security;ukuzithemba ngokomuzwa/ngokomoya;;
empathy;umzwelo;;
employee assistance programme (eap);uhlelo lokusiza abasebenzi;;
empowerment;ukuhlomisa/ukuthuthukisa;;
enabler;insizakwenza/insizasimo;;
engagement;ukuxoxisana;;
enlightenment;ukukhanyiseleka;;
entropy;konke kuyaphazamiseka;;
epistemology  ;insuselalwazi;;
equality;ukulingana;;
equifinality ;ukufinyelela ngandlelaningi;;
equilibrium;ukulinganiseka nxazonke;;
equity;ukwenzelela ngokulinganisa;;
ethical dilemma;ukungqubuzana kwezinqubonhle;;
ethics;inqubonhle;;
ethnocentrism;ukuziphakamisa ngokobuzwe;;
evaluation;ukucubungula/ukuhlolisisa;;
evidence-based practice;ukwenza okugxile ebufakazini;;
experimental group;iqoqo eliyilinge;;
expert knowledge;ulwazi lobungoti;;
expertise;ubungoti;;
explore;ukuhlwaya;;
extended family;uzalo ;;
external locus of control;umkhawulokulawula wangaphandle;;
facilitation ;ukwenzisa;;
facilitator;umenzisi;;
factor analysis;uhlaziyosimo;;
family of origin;umndenindabuko/ umndeni ozalwa kuwo/umndeni odabuka kuwo;;
family preservation;ukugcinwa komndeni;;
family reconstruction;ukwakhiwa kabusha komndeni ;;
family reunification;ukuhlanganiswa kabusha komndeni;;
family therapy;ukwelaphakweluleka umndeni/ingxubekwelapha umndeni;;
feedback;umbikokwazisa;;
female genital mutilation;ukusikakulimaza isitho sangasese sowesifazane;;
feminism ;imvunamanina;;
feminization of poverty;ukufazanisa inhlupheko;;
field practice;ukufundela emsebenzini;;
fixation;isimandawonye;;
focus group;iqoqongxila;;
focusing;ukugxila;;
forensic social work;uphenyonzulu lwezenhlalakahle;;
foster care;ukunakekela ingane ongayizali;;
gambling;ukugembula;;
gate  keeper;1.     umgunyazi ;;
;2.     umqaphicwaningo;;
gender;ubulili;;
gender based violence;udlame ngokobulili;;
gender equity;ukulinganiseka ngokobulili;;
gender role;iqhaza ngokobulili;;
gendered;ukuchemabulili ;;
generalist ;umikhakhayonke;;
genogram;umdwebolibo;;
genuine ;ubuqiniso/okwangempela;;
gerontology;isifundo ngasebebadala;;
global;okomhlaba wonke;;
goodness of fit;ukuhambelana nesimo;;
government housing scheme;uhlelo lwezindlu lukahulumeni;;
grief;umunyu;;
group dynamics;inguqukokusebenzisana kweqoqo;;
group work;umsebenzi weqoqo;;
guardian;umbheki;;
hallucination;ukubona okungekho/ukuzwa okungekho;;
harassment;ukuhlukumeza;;
harmonious;okunensebenziswano;;
hate crime;icala lenzondo;;
helping process;inkambisokusiza;;
heterosexism;ukucwasa abathandana bebulilibunye;;
hinder;ukuthiya;;
holistic ;ngokuphelele;;
homeostasis;impindakubuyela;;
homophobia;inzondobungqingili/inzondobutabane/ incwasabungqingili/ incwasabutabane;;
homosexuality;ubungqingili/ubutabane;;
human capital;amagalelo abantu;;
human relations ;ubudlelwano babantu;;
human rights;amalungelo abantu;;
humanity;ubuntu;;
hypothesis;umbono ongakafakazelwa;;
identity;ubuwena;;
identity crisis;ukudideka ngobuwena/ukungabaza ubuwena;;
identity marker;inkombabuwena ;;
implied consent;imvume ecashile;;
impulsive;ukuwalazela;;
incidence rate;izingabungako lezigameko;;
individualisation;imbekabuyena;;
inequality;ukungalingani;;
infant mortality ;ukufa kwezinsana;;
informed consent;imvumawazi;;
input;okungenayo/okufakwayo;;
in-service training;ukuqeqeshelwa emsebenzini;;
institution;isikhungo;;
institutional racism;ukucwasa ngokobuhlanga ezikhungweni;;
integration of theory into practice;ukudidiyela injulalwazi kokwenziwayo;;
interconnectedness;uxhumaxhumano;;
internal locus of control;umkhawulokulawula wangaphakathi;;
internalised oppression;ingcindezelo eyamukeliwe;;
interpersonal relations;ubudlelwanokuxhumana kubantu;;
interpretation ;uhumusho;;
intersection;empambanweni;;
intervention;ukungenelela ;;
interview;1.     inhlololwazi;;
;2.     imposambuzo/inhlwayalwazi;;
;3.     ingxoxo;;
intra-personal ;okuzwa wedwa;;
involuntary client;umhlinzekwasizo ngempoqo;;
just cause;ubulungiswa;;
kinship;ubuhlobo;;
kinship care;ukunakekelwa yizihlobo;;
levels of practice;amazinga okusebenza;;
liberalism;imfisabungcono;;
liberation;inkululeko;;
life cycle;umjikelezo wempilo/ inguqukokukhula;;
life events;izehlakalo zempilo;;
limitation;umkhawulo;;
linear perspective;indlelakubuka emunxamunye;;
linkage;uxhumaniso;;
macro level;izinga elibanzi;;
maintain;ukugcina ;;
malpractice;ukuziphatha okungafanele;;
managed care;unakekelo olulawulwayo;;
man-centred society;umphakathi oqhakambisa abantu;;
marginalised;ukuqhubusha/ukushiywa ngaphandle;;
materialistic;ukuthanda izinto;;
matriarchy ;ukubusa kwabesifazane;;
means test;inhlonzasidingo;;
mediator;umxhumanisimulamuli;;
method;indlela;;
mezzo level;izinga elimaphakathi;;
micro level;izinga elisondelele/eliseduze;;
mortality rate;izinga labafayo ;;
mourning;ukuzila;;
multi-disciplinary;okumkhakhamningi;;
multi-problem family;umndeni ozinkingankinga;;
mutual respect;ukuhloniphana ;;
mutuality;ukwenzana;;
narrative therapy;ingxoxokwelapha;;
national;uzwelonke;;
national association of social workers;inhlangano yosonhlalakahle kazwelonke;;
needs assessment;ukuhlonzwa kwezidingo;;
negative entropy ;ukuthuthuka kwempilo;;
networker;umphembikuxhumana;;
networking;impembakuxhumana/ ukwakha amaxhama okuxhumana;;
non-judgemental attitude;umoya wokungahluleli;;
non-profit organisation;inhlangano engenzinzuzo;;
norm;inkambisomgomo;;
normative;okujwayelekile;;
nuclear family;umndeni wabazali nezingane/umndenimnyombo;;
objectivity;ukungachemi;;
obstacle;isithiyo/ingqinamba;;
open system;uhlelo oluvulelekile;;
oppression;ingcindezelo;;
optimal thinking;ukucabanga okunzulu;;
organisational culture;usiko lwenhlangano;;
organisational development;ukuthuthuka kwenhlangano;;
outcome evaluation;ukucutshungulwa komphumela;;
output;okukhishwayo/okuphumayo;;
paedophile;okhanukela ucansi nezingane;;
paradigm;uhlelomqondo/ umqondombono;;
paraphrasing;ukufishanisa ngamagama akho;;
parental responsibility;isibophezelo somzali;;
parity;ukulingana;;
patriarchy;ukuqonela/ukubusa/ukuphatha kwabesilisa;;
peer pressure;ukududana kontanga;;
peer review;ukubuyekezelana kontanga;;
peers;ontanga;;
personality;ubunjalomuntu;;
