English Term;English Definition;IsiZulu Term;IsiZulu Definition
depth of field;;ububanzikucaca;
dialogue;;inkulumompendulwano;
diegetic sound;;umsindo olindelekile;
diffusion;;Ukudambisa;
digital noise;; izinhlayiyasithombe ezidijithali;
directing the eye;;ukugqamisa okubalulekile/ukugxilisa kokubalulekile;
director;;umqondisi;
director's cut;;okuhlelwe ngeso lomqondisi;
diretor of photography (DOP);;umqondisi wezokuthwebula;
dissolve;;imfiphalo;
distribution;;usabalaliso;
documentary;;iqophabunjalo/ idokhumentari;
dolby stereo;;istiriyo ngokukaDolby;
dolly;;inqolasithwebuli;
dolly shot;;okuthwetshulwe ngenqolasithwebuli;
double exposure;;isithombe esimbaxambili/ukuthunzelisa okumbaxambili;
double system;;uhlelokuthwebula olumbaxambili;
drama;;umdlalo/idrama;
dub;;ifakakuhambisanamisindo;
dynamic range;;ukwenabanhlukano/insabalalonhlukano;
editing;;ukuhlela ;
ellipsis;;insalelamcabango/ingodlamcabango;
epilogue;;amazwibelasiphetho;
establishing shot;;isithombesendlalelo;
executive producer;;umdidiyeli ophethe;
exposition;;isandulelomdlalo;
exposure;;ubungakokukhanya;
expressionism;;uhlelomvezamizwa;
extra;;umlingisisithasiselo/umlingisisengezo;
extreme close-up;;isithombebuduze ngokwedlulele;
eyeline;;iqondisakubuka;
eyeline match;;ukuqondaniseka kweqondisakubuka;
fade;;ukufiphala;
fast-cutting;;ukunqamula ngokushesha;
favour on;;ingxilisakuthwebula;
feature film;;ifilimu ende;
festival;;ifestivali;
fiction;;insuselwakhanda;
field of view;;ukhalokubuka;
fill light;;isigcwaliselosikhanyisi;
film;;ifilimu/ingqayi/ibhayiskobho;
film grain;;inhlayiyasithombe;
film noir;;ithunziswa/i-film noir;
filmology;;iqoqombhalo lamafilimu;
film plane;;ikhundla lefilimu;
film set;;isizindafilimu/isizinda sefilimu;
film stock;;isiqophazithombe/isigcinazithombe;
filter;;icwengasithombe/ inguqulabunjalosithombe;
final cut;;uhlelokugcina;
fish-eye lens;;ilensi ebuka ngokubanzi kakhulu/ilensi eyiso lenhlanzi;
flag;;isilawulikukhanya;
flare;;ukubenyezela;
flashback;;injeqezamuva;
flash-forward;;isibikezelomuso;
fluorescent light;;isikhanyisi iflorisenti;
focal length;;ubude belensi;
focus;;ukucaca;
foley;;ukhiqizomsindo;
foley artist;;umkhiqizimsindo;
footage;;okuthwetshuliwe;
foreground;;ingaphambili lendawo;
foreshadowing;;isibikezelo;
fourth wall;;umngcelekubuka;
frame;;isithombe;
frame rate;;izingakudlula lezithombe;
freeze frame;;ukuma kwevidiyo;
f-stop;;i-F stop;
gaffer;;umkhanyisi omkhulu;
gaffer tape;;isinamathelisi igafa;
gate;;isango;
gel;;isicwengimisebe;
general release;;usabalaliso jikelele;
genre;;uhlobobuciko/umunxa;
green screen;;isihenqo esiluhlaza;
green light;;Imvumekukhiqiza;
golden hour;;inkathikufaneleka yokuthwebula;
grip;;uchwepheshe kwezokusekela;
gross;;ingenisomali ;
guerrilla film;;ifilimu ethwetshulwe kungalandelwa migomo /ifilimu ethwetshulwe ngokungenamvume;
halogen;;isisi ihalojini;
handheld shot;;okuthwetshulwe ngesandla;
hard drive;;isigcinalwazi/isigcinamininingo;
hard light;;ukukhanya okunamandla;
head-on shot;;okuthwetshulwe ngqo;
helicopter shot;;okuthwetshulwe ngendiza enophephela/okuthwetshulwe ngendiza engujekamanzi;
head room;;ibanga phakathi kwekhanda nomkhawulosithombe;
helm;;Umqondisi;
high angle shot;;okuthwetshulwe ngenhla/okuthwetshulwe ngaphezulu;
high definition;;Ukucacakugqama;
high key lighting;;ukukhanya okukhulu okusabalele ;
hitting a mark;;ukunemba;
HMI (Hydrargyrum Medium-Arc lodide) light;;isimelelilanga/isikhanyisi i-HMI ;
homage;;Ukuhlonipha;
horror;;okusabisayo/okuthusayo/isesabisi;
hybrid;;ingxubeminxa/ingxubezinhlobo;
iconography;;Insebenzisophawukubaluleka;
IMAX;;i-IMAX;
in-camera editing;;ukuhlela ngokuthwebula ngqo;
inciting incident;;Isigamekosisusa;
independent film;;ifilimu edidiyelwe ngokuzimele;
in-focus;;ukucaca ;
ink;;Ukusayina;
insert shot;;Isithombesisekelo;
inside joke;;ihlaya labathile;
intercut shots;;izithombe ezinikezelanayo;
interlude;;Inhlabisakhefu;
intermission;;Ikhefu;
iris;;1. ukulawulakungenakukhanya           2.isilawulikungenakukhanya;
ISO;;i-ISO;
j-cut;;i-J-cut;
jib;;Ujibha;
jump cut;;ukugxuma kwesithombe;
juxtaposition;;Uncikano;
kelvin;;isilinganisobungakokushisa ikelvin;
key light;;Isikhanyisingqangi;
landmark film;;ifilimu eyingqophamlando;
lapel mic;;isicoshelimsindo sesiphika;
lavalier;;isicoshelimsindo sesiphika;
L-cut;;i-L-Cut;
Leitmotif;;indikimbanampindwa/ileitmotif;
lens;;Ilensi;
letterboxing;;Unciphisosithombe;
library shot;;isithombe esilondoloziwe;
lighting;;Ukukhanyisa;
line producer;;umdidiyelimidanti ;
lip sync;;ukuhambisana kwezindebe nomsindo;
location;;Indawokuthwebulela;
location filming;;ukuthwebulela endaweni;
location manager;;umphathi wendawokuthwebulela;
location sound;;umsindo wendawokuthwebulela;
logline;;Umushoqoqa;
long exposure;;ubungakokukhanya obude/ubungakokukhanya obunkathinde;
long lens;;ilensi eyisibukakude;
long shots;;Isithombebuqamama;
looking room;;ibanga phakathi kobuso nomkhawulosithombe;
looping;;Impindakuqopha;
low angle shot;;okuthwetshulelwe ngezansi;
lower thirds;;indawokuloba engezansi;
low key lighting;;ukukhanya okukhulu okusabalele ngokungalingene;
macro lens;;ilensi emandlamakhulu;
magic hour;;inkathikufaneleka yokuthwebula;
mask;;Ukumboza;
master shot;;Isithombengqangi;
match out;;uhlobanisozithombe/umatanisozithombe;
matte shot;;ukuhlanganisa izithombe;
macguffin;;iMacGuffin;
medium shot;;isithombe esimaphakathi ngokuphakama;
melodrama;;umdlalo oyihabazigigaba/imelodrama;
metaphor;;Isingathekiso;
method acting;;ukulingisa ngokuzibandakanya;
miniature;;Insuselwakuyo;
mise-en-scène;;Uhlelokwakheka/imise-en-scene;
mastering;;Ukucolisisa;
mixing;;Ukuhlanganisa;
mocumentary;;Iqophabunjalokubhuqa;
money shot;;isithombe esikhethekile/isithombe esivelele;
monologue;;inkulumo kayedwana;
monopod;;Umlenzemunye;
montage;;Inhlanganiselazithombe;
motif;;Indikimbana;
motion blur;;ukungacaci kokunyakazayo;
movie;;isithombe/ifilimu;
narrator;;umlandi;
narration;;ukulanda;
narrative structure;;isakhiwomdlalo;
natural light;;ukukhanya kwemvelo;
naturalism;;ubumveloqiniso;
neo-realism;;iniyoriyalizimu;
new wave;;okwesimanjemanje/iNew Wave;
new hollywood;;iNew Hollywood;
Nollywood;;iNollywood;
non-diegetic sound ;;umsindo ongalindelekile;
non-fiction;;insuselwabuqinisweni;
nose room;;indawokubuka;
noun;;isiqophizithombe;
novel;;inoveli;
nut;;izindleko;
off book;;ukungafundi phansi/okwaziwa ngekhanda;
omniscient point of view ;;indlelakubuka yokwazikonke;
180-degree rule;;umthetho i-180 degree;
one-liner;;ihlaya elifushane;
out of focus;;ukungacaci;
overcrank;;ukugijimisa kakhulu/ukuvininisa;
overexposure;;obobungakokukhanya obugqamile;
overhead shot;;okuthwetshulwe ungaphezulu;
over-the-shoulder-shot;;isithombe esiwunohlombe;
overture;;umculosethulo;
production assistant;;umlekelelikukhiqiza;
pace;;ijubanekuhlela;
pan;;ukuhamba kwesithwebuli ngokwezinhlangothi;
paradox;;indida/ukuziphikisa;
parallel editing;;ukuhlela okulinganisene;
parenthetical;;isiqondisikwenza;
persistence of vision;; imbeleselambonomcaban go;
pilot;;Inhlolakwamukelwa;
pipeline;;ifilimu esizokwenziwa;
pixel;;inhlayiyasithombe;
pixelation;;"ukonakala kwenhlayiyasithombe
";
plot;;uchungezigameko;
pixilation;;ukuthunzelisa ngabantu;
plot device;;isu lochungezigameko;
post-credits sequence;;Ilandelaluhlumagama;
postmodern;; Ilamasimanje;
post-production;;ilamakukhiqiza/ilamakuthwebula;
P.O.V shot;;isithombe ngendlelakubuka;
pre-code;;inkathikuvuleleka;
pre-production;;isandulelakuthwebula;
prequel;;imvezamsuka/iqalisa;
preroll;;intathamandla;
pre-screen;;isandulelakusatshalaliswa;
prime lens;;ilensi engaguquki;
principal photography;;uthwebulongqangi;
principal actors;;abalingisingqangi;
producers;;umdidiyeli;
production design;;umumowohlelokwakheka;
production sound;;imisindomkhiqizo;
production value;;iqophelobunjalo lomkhiqizo;
prologue;;isandulelasakhiwo;
prop;;okusetshenziswa ngabalingiswa;
protagonist;;umlingiswa oyinsika/umlingiswa oyinhloko;
pull back;;ukuqhela kwesithwebuli;
push in;;ukusondela kwesithwebuli;
racking focus;;uguqukokucaca;
reaction shot;;isithombekwenanela;
realism;;Indababuqiniso;
rear screen projection;;1. sihenqomveza sangemuva      2. iqhamukisazithombe ngemuva kwesihenqo ;
redlight;;umisokukhiqiza/uhoxokukhiqiza;
reel;;1. isondosiqukathi   2. amazwibela okuqoshiwe;
rembrandt lighting;;ukukhanyisa ngokukaRembrandt;
rendering;;ucolisisobunjalo;
contingency (move to C);;isiqaphangozi/izimali zezimo eziphuthumayo;
resolution;;1.       isisombululo/isiphetho   2.       izingabunjalo;
reverse angle shot;; okuthwetshulwe    ngokuphendukezela;
reverse motion;;uhlehlozithombe;
rigger;;umxhumizinsizakuthwebula;
room tone;;umsindo wegumbi;
rough cut;;ifilimu elingakacolisiswa;
rule of thirds;; umthetho wongantathu;
rush;;osekuthwetshuliwe;
satire;;indabambhinqo/indabakubhuqa/isathaya;
scene;;isigcawu;
scene heading;;isihloko sesigcawu;
score;;umculo oyimfakamuzwa;
screen direction;;uyalelongaphi;
screen test;;ukuthwebulakuhlola;
screenplay;;umbhalo wefilimu;
screenwriter;;umbhalimafilimu;
script doctor;;umcolisimbhalo;
script supervisor;;umeluleki wothwebulo;
second unit photopgraphy;;uthwebulokusekela;
sensor;;isamukelikukhanya/isensa;
sepia tone;;umbala onobunsundu;
sequel ;;isilandeliso;
sequence;;uchungezigcawu;
sequence shot;;uchungesithombe;
setting;;isizinda;
shallow depth of field;;ububanzikucaca obungajulile;
shallow focus;;ububanzikucaca obungajulile;
shooting script;;umbhalo ozosetshenziswa kuthwetshulwa;
shot;; isithombe/okuthwetshuliwe;
shot list;;uhlu lokuzothwetshulwa;
shot reverse shot;;okuthwetshulwe ngokunikezelana;
short siding;;indawokubuka esondele kakhulu;
shepard tone;;umsindo ngokukaShepard;
showrunner;;umphathiluhlelo lwethelevishini;
shutter speed;;isivinini sesivimbelikukhanya;
simile;;isifaniso;
single system;;ukuqophangqo/uhlelolunye lokuthwebula;
slate;;ibhodimniningwano/isileti;
sleeper;;isinamuva/imvelelikamuva;
slow motion;;ukucathama;
slugline;;isihloko sesigcawu;
snub;;ukuziba;
soft focus;;ubuvindi;
soft light;;ukukhanya okungenamandla;
sound ;;umsindo;
soundstage;;Inkundlamsindo;
sound effect;;umsindokufakwa;
sound track;;1. ingxenye ewumsindo efilimini  2. umculo;
spec script;;umbhalondaba ohlongozwayo;
special effects;;isigqamisikukholakala/isenzakukholakala;
spin-off;;intathelwakokunye;
split-screen;;uhlukanisosikrini;
spoiler;;upotshozondaba;
static shot;;okuthwetshulwe ngokunganyakazi;
steadicam;;uzinzisisithwebuli;
still;;isithombe ;
stinger;;intushukamaphethelweni/imvelamaphethelweni;
stock footage;;okuthwetshuliwe okusenqolobaneni;
stop;;isikalibungakokukhanya/istophu;
stop motion;;ukuthunzelisa ngezithombe;
story;;indaba;
storyboard;;umdwebondaba;
subplot;;isilekelelichungesigameko;
subtext;;injulancazelo;
subtitle;;inkulumombhalo;
superimposition;;inhlalakokunye;
surrealism;;unyakazobuciko obumangazayo;
sweetening;;ukunonga ngemisindo/ukugqamisa    ngemisindo;
swish pan;;uvundlokushwibeka;
symmetry;;ukufanozingxenye ezibhekene;
symbolism;;ubuphawu;
synopsis;;isifingqo/isinophsisi;
tagline;;isiqubulo;
take;;uthwebulo;
teaser;;isigabiseli;
telephoto lens;;ilensi eyisibukakude kakhulu;
the call;;umyalelo;
theme;;indikimba;
tight on;;usondezokakhulu;
tilt shot;;isithombe esiwuphansiphezulu;
time lapse;;udlulosikhathi;
tracking shot;;uthwebulokulandela;
trailer;;izwibelakukhangisa;
treatment;;incazelo ngomdlalo/amanqampunqampu ngomdlalo;
tripod;;umilenzentathu;
t-stop;;iT-Stop;
tungsten light;;isikhanyisi ithangisteni;
undercranking;;ukunensisa;
underexposure;;ubungakokukhanya obufiphele;
union;;inyunyana;
unreliable narrator;;umlandi ongathembekile/umlandi ochemile ;
verb;;ukwenza isithombe/ukwenza ifilimu;
vertigo effect;;imbanganzululwane;
video;;ividiyo;
video village;;indawo yokubuka izikrini;
viewfinder;;isibonisi sesithwebuli;
villain;;umdungi/umxovi;
visual effects;;isenzakubukekakukholakala;
voice-over;;inkulumobusithe;
walk-on;;imvelakanye;
walk-through;;amalungiselelokuthwebula;
wardrobe;;okokugqoka/izembatho;
white balance;;ikhumbuzambala/ibuyisambala;
wide angle shot;;Isithombebubanzi;
wide lens;;ilensi eyisibukabanzi;
wipe;;isithombekusula;
wrap;;ukuphetha;
zoom lens;;ilensi eguquguqukayo;
zoom shot;;ibanga lesithombe eliguquguqukayo;
