English Terms;English Definition;IsiZulu Term;IsiZulu Definition 
external acoustic meatus;;umgudu wesithwalamsindo ongaphandle;
external capsule ;;umumomizwa wobuchopho ongaphandle ;
external intercostal;;isinyakazisimbambo esingaphandle;
external jugular vein;;umthovothi ongaphandle ;
external oblique;;umsipha otshekile ongaphandle ;
externus;;umsipha ongaphandle;
extreme capsule;;umumomizwa wobuchopho oqhelile;
eyebrow;;ishiya;
face;;ubuso;
facet;;ithambosicaba;
facial;;okobuso;
femoris;;okwethambo lethanga;
fiber;;umucu;
fibrocartilage;;uqwanga oluwumucu;
fibrous;;okusamucu;
fibrous joint;;ilunga elisamucu;
flank;;umhlubulo;
flexor;;isigobisi;
flexor carpi radialis;;isigobisisihlakala serediyasi;
flexor carpi ulnaris;;isigobisisihlakala i-alna;
flexor digiti minimi brevis;;isigobisicikicane esifushane ;
flexor digitorum brevis;;isigobisizinzwane esifushane;
flexor digitorum longus;;isigobisizinzwane eside;
flexor digitorum profundus;;isigobisiminwe esingaphansi;
flexor digitorum superficialis;;isigobisiminwe esingaphezulu;
flexor hallucis brevis;;isigobisiqukulu esifushane;
flexor hallucis longus;;isigobisiqukulu eside;
flexor pollicis brevis;;isigobisisithupha esifushane ;
flexor pollicis longus;;isigobisisithupha eside;
folliculus;;imbulunganyana;
foot;;unyawo;
foramen magnum;;imbobo yesikhonkosi;
foramen ovale;;imbobo esaqanda;
foramen rotundum;;imbobo esandilinga;
foramen spinosum;;imbotshana esandilinga;
forearm/antebrachium;;ugalo womkhono;
forehead;;isiphongo;
fourth ventricle;;isikhala sesine ebuchosheni;
fracture;;ukuchachamba/ukuvaveka/ufa ;
frontal bone;;isimongo;
frontalis;;umsipha wesimongo;
gallbladder;;isikhwama senyongo;
gastrointestinal;;okwesisu namathumbu;
genioglossus ;;isinyalizisi ;
geniohyoid ;;indonsahayodi;
globus pallidus;;iglobhasi phalidasi;
glossopharyngeal;;okolimi nomphimbo ;
gluteal;;okwezinqe;
gluteus maximus;;umsiphakazi wezinqe;
gluteus medius;;umsipha omaphakathi wezinqe;
gluteus minimus;;umsishana wezinqe;
gonadal;;okwezindlala zenzalo;
gracilis;;umsipha omaphakathi nethanga ;
groin;;inxonxo;
hair;;unwele;
hallucis;;okukaqukulu/okukabhozo;
hand;;isandla;
haustrum;;ibhamuzana likapopopo;
head;;ikhanda;
heel;;isithende;
hepat-;;okwesibindi;
hinge joint;;ilunga eliyingibe;
hip/coxal;;inqulu;
humeroscapular;;okomkhono nesiphanga;
hyoglossus ;;isehlisilulimu;
hypochondriac;;okomhlubulo;
hypogastric/pubic;;isibumbu;
hypoglossal canal;;umgudu wesinyalizisi/ umgudu ihayiphoglosali;
hypoglossal nerve;;umuzwa wesinyalizisi/ umuzwa ihayiphoglosali;
iliac;;okwenqulu;
iliacus;;umsiphanqulu ;
iliotibial tract;;umdweshu we-iliyothibhya/ isixwexwe se-iliyothibhya;
inferior ;;okungezansi/okungaphansi;
inferior muscle;;umsipha ongezansi/ umsipha ongaphansi;
inferior eyelid;;ijwabu leso elingezansi/ ijwabu leso elingaphansi;
inferior gemellus;;umsipha ongezansi ezinqeni;
inferior nasal concha;;isakhiwo sekhala esingezansi/ isakhiwo sekhala esingaphansi;
inferior oblique;;indonsaliso etshekile ongezansi/ ongaphansi;
inferior orbital fissure;;isikhala somgudumzungezo ongezansi/ isikhala somgudumzungezo ongaphansi;
inferior pharyngeal constrictor;;isinciphisimphimbo esingezansi/ isinciphisimphimbo esingaphansi;
inferior rectus;;indonsaliso oqondile ongezansi/ ongaphansi;
inferior vena cava;;umthambokumoma wesingezansi;
infrascapular;;ingezansi lesiphanga/ ingaphansi lesiphanga;
infraspinatus;;umsipha ongezansi kwesiphanga/ umsipha ongaphansi kwesiphanga;
innermost intercostal;;isinyakazisizimbambo esisekujuleni ;
inspiration;;ukudonsa umoya;
inter-;;okumaphakathi;
interatrial septum;;isihlukanisi esingenhla;
intercartilaginous;;okumaphakathi koqwanga;
intercostal nerve;;umuzwa omaphakathi kwezimbambo;
intercostalis;;okumaphakathi kwezimbambo;
internal;;okungaphakathi;
internal acoustic meatus;;umgudu wesithwalamsindo ongaphakathi;
internal capsule;;umumomizwa wobuchopho ongaphakathi ;
internal intercostal;;isinyakazisizimbambo esingaphakathi;
internal jugular vein;;umthovothi ongaphakathi;
internal oblique;;umsipha otshekile ongaphakathi;
internus;;umsipha ongaphakathi ;
interosseous membrane;;ulwelwe phakathi kwamathambo;
interscapular;;okuphakathi kwesiphanga;
interspinalis;;okuphakathi komgogodla;
interventricular foramen;;imbobo engenhla phakathi kwezikhala zobuchopho ;
interventricular septum;;isihlukanisi esingezansi;
intervertebral disc;;uqwanga lomgogodla/idiski yomgogodla ;
intervertebral foramen;;imbobo phakathi komgogodla;
intestine;;ithumbu;
ipsilateral;;okuhlangothilunye;
isthmus;;isihlanganisi;
kidney;;inso;
knee;;idolo;
labia majora;;amalebe amakhulu;
labia minora;;amalebe amancane;
lacrimal gland;;indlala yeso;
lacrimal sac;;isikhwama sezinyembezi;
lambdoid suture;;inhlanganagebhezi yesiphundu;
laryngopharynx;;umphimbogilo;
latera crico-arytenoid;;ikhrikho-arithenoydi eseceleni;
lateral rectus;;indonsaliso eqondile eseceleni;
lateral ventricle;;isikhala ebuchosheni;
lateralis;;umsipha oseceleni;
latissimus dorsi;;umsipha obanzi osemhlane;
leg;;umlenze;
lens;;ilensi yeso;
lentiform nucleus;;umongo ilentifomu;
leukocyte;;okwezinhlayiya zegazi;
levator;;isenyusi/isiphakamisi;
levator anguli oris;;isenyusimankemfu/ isiphakamisimankemfu;
levator ani;;isisekelamdidi;
levator costarum;;isenyusizimbambo/ isiphakamisizimbambo;
levator labii superioris;;isenyusidebe lwangaphezulu/ isiphakamisidebe lwangaphezulu;
levator labii superioris alaeque nasi;;isenyusidebe nekhala/ isiphakamisidebe nekhala;
levator scapulae;;isenyusisiphanga/ isiphakamisisiphanga;
levator veli palatini;;isenyusilwanga/ isiphakamisilwanga;
ligament;;iligamenti;
limbus;;unqenqema;
lingula;;okomumolimu;
lip;;udebe;
liver;;isibindi;
longitudinal;;okobudebumile;
loin;;ukhalo;
longus;;umsipha omude ;
longus colli;;ikholi ende;
lumbar nerves;;imizwa yentumbusi;
lumbar plexus;;isixhobomizwa ezintumbusini ;
lung;;iphaphu;
lymphatic;;okuphathelene noketshezi olusabisi;
lymphoid;;okuqondene nesakhamasosha omzimba ;
major;;okukhulu;
mammary;;okwebele;
mandibular foramen;;imbobo yomhlathi wangezansi;
mandibular fossa;;umgodi womhlathi wangezansi;
mandibular notch;;inkoxe yomhlathi wangezansi ;
matter;;izicubu zobuchopho;
medial rectus;;indonsaliso eqondile emaphakathi ;
median nerve;;umuzwa wengalo nesandla;
membrane;;ulwelwe;
mental foramen;;izikhala zesilevu;
mental spines;;amaqhakuvana esilevu;
mentalis ;;umsipha wesilevu;
mentis;;isilevu;
mesenteric;;okomhlwehlwe;
metacarpals;;amathambo entende yesandla/ amamethakhaphali;
metatarsal;;amathambo amathe onyawo/ amamethathasali;
