English Term ;English Definition ;IsiZulu Equivalent;IsiZulu Definition
instrumentation ;;uhlelozinsimbi;
interlude ;;umculonhlabakhefu;
intermezzo ;;umculonhlabakhefu;
interpretation;;isihumusho;
interrupted cadence;;amakhodi aphetheke ngokuphazamiseka;
interval ;;isikhawumsindo;
intervallic;;okwesikhawumsindo;
intonation ;;indlelakungena;
introduction ;;isingeniso;
invertible counterpoint;;inhlanekezelakungena ngaphimboningi;
Ionian mode;;isikhawukulandelanamanothi se-ayoniya;
isicathamiya ;;isicathamiya;
isorhythm;;isigqingxube;
key;;ukhiye;
key signature;;inkombakhiye;
keyboard;;uqwembezinkinobho;
klangfarbenmelodie ;;imelodi yenothi eliwunguqunguqu;
kora;;ikhora;
largo;;ngokunensayo;
leading note;;inothi eliholelayo;
ledger line;;umugqakuxhuma;
legato;;umyalelo sishelelisi;
leitmotif ;;isiqhakambisi mlingiswa;
lento;;umyalelokunensa;
libretto ;;amagama eculo;
ligature ;;inxumanisomanothi;
Locrian mode;; isikhawumanothi seLidiyi;
Lydian mode;;isikhawumanothi seLidiyani;
lyrics;;amagama eculo;
madrigal ;;imadrigali;
maestro ;;umbhidisi;
major chord;;isixhamanothi esikhulu;
major interval;;isikhawumsindo esikhulu;
major scale;;isikhawumanothi esikhulu;
march ;;umviliyelo;
marimba;;imarimba;
maskanda;;umaskandi;
mass;;imisa;
mbaqanga;;umbhaqanga;
mbira;;imbira;
measure ;;umgamu;
mediant;;inothi elimaphakathi;
timbila;;ithimbila yabaTshopi;
medieval;;imvangemaculo ;
medley ;;ingxubemahubo/ingxubemaculo;
melodic ;;okomnkenenezo;
melodic inversion ;;ukuhlanekezelwa komnkenenezo;
melodic minor scale;;isikhawumanothi esincane somnkenenezo ;
melodica;;uqwembezinkinombo lomlomo;
melody;; umkenenezoIndlelahubo/idlelaculo/imelodi;
metre;;ukuhamba ngesigqi;
metric ;;okuhamba ngesigqi;
metronome;;inkombasivinini/ isikalisivinini;
mezzo ;;okumaphakathi;
mezzo forte;;umyalelomfutho omaphakathi;
mezzo piano;;okupholile okumaphakathi;
mezzosoprano;;iphimbomaphakathi;
Minim;;inothi elizigqimbili;
minor chord;;Isixhamanothi esincane;
minor interval;;isikhawumsindo esincane;
Minstrel;;inikabheni;
minuet ;;iminuwethi;
mixolydian mode;;isikhawumanothi semiksolidiyani;
mode ;;imodi;
Moderato;;umyalelosigqimaphakathi;
Modern;;isimodeni;
modern jazz;;ijezi yesimodeni;
Modulation;;uwelelo;
monophonic;;okwephimbolinye;
monophony;;iphimbolinye;
monotone ;;phimbonothi;
Mordent;;imodenti;
motet ;;iculo lenkolo ;
motif ;;isiqhakambisi;
Motive;;izwibela;
Motivic;;okwesiqhakambisi;
movement ;;ingxenye;
umsindo ophelele;;umsindo ophelele;
musette ;;imiyuzethi;
Musical;;okunomculo;
musicology ;;isifundo ngomculo;
natural ;;inothimvelo;
natural minor scale;;imodi tesithupha;
neoclassical ;;iniyoklasikhali;
nocturne ;;inkumbuzabusuku;
nonet ;;umculowabayisishiyagalolunye;
Non-functional harmony;;okungahambisani nemvumelwanozindlela;
notation ;;okubhaliwe;
note value;;ubungako benothi;
obbligato ;;okuphoqayo koculangayedwa;
Oboe;;i-obho;
octave ;;isikhawunothi kugcina;
octet ;;umculo wabayisishiyagalombili;
opera ;;i-ophera;
operetta ;;i-ophera emfushane;
opus ;;umsebenzi;
Oratorio;;i-orathoriyo;
Orchestra;;i-okhestra;
Orchestral;;okwe-okhestra;
orchestration ;;ukuhlelomculo lwe-okhestra;
organ ;;isinongi;
Ornament;;isinongi/i-onamenti;
Ostinato;;umsindompindwa/i-ostinato;
Oud;;i-owudi;
Overtone;;amakhweyana;
Overture;;isandulela;
Palindrome;;inhlanekezelwakufana/iphalindromu;
pandiatonicism;;ubungcubebenothikulingana;
parody ;;ukuqanjwamfuziselo;
part ;;indlela;
partial ;;ikhweyana;
partita ;;iqoqomidanso ehambelanayo;
passacaglia/chaconne;;iphasakhaliya;
pastoral ;;umqanjwamadlelweni;
pedal point;; intshayandawonye;
pentatonic scale;;isikhawumanothinhlanu;
perfect cadence;;isixhamanothi kuphetha esiphelele;
perfect interval;;isikhawumsindo esiphethekile ;
Perfect pitch;;iphimbo elinembayo;
Perform;;ukudlala;
phrase ;;umgqana;
Phrygian mode;;imodi ifirijiyeni;
Pianissimo;;umyalela wokukhalela phansi;
piano ;;uphiyano;
Pitch pipe;;ipayipi lokusetha inothi;
pizzicato ;;ukuncinzakushaya;
plagal cadence;;isixhamanothi kuphetha ngokucezile   ;
Plainsong;;iculophaqa;
Polychords;;izixhamanothi  eziningi;
Polymodality;;ingxubekhiye;
Polyphonic;;See  polyphony (ukungenisa okuphimboningi);
polyphony ;;ukungenisa okuphimboningi;
polytonality ;;See polymodality;
popular music;;umculo odumile;
portamento ;;iphothamento;
Post-tonal;;okubhalwe ngokungajwayelekile;
prelude ;;imvungesingeniso;
presto ;;umyalelokushesha;
programmatic music;;umculo oyimvusazinzwa;
progression ;;ukulandelanazixhamanothi;
Psalm;;Ihubo;
Pulse;;Umgqigqo;
quadrille ;;umdanso wongababili abane;
quadruple time;; umgqigqo omvomine;
Quartad;;isixhamanothimane;
Quartet;;imculo wabane;
Quaver;;ingxenye yenothi elisigqisinye;
quintad ;;isixhamanothinhlanu;
Quintet;;imvungenhlanu;
Ragtime;;ukureka;
Rallentando;;umyalelokunensa;
recapitulation ;;impindangxenye;
Recital;;ikhonsathikuhaya;
recitative ;;ukuhayakucula;
recorder (soprano/alto/tenor/bass);;Umtshingwana (wendlela yokuqala/yesibili/yesithathu/yedoshaba);
reed ;;uphephesimuhlanga;
Reed pipe;;igekle;
refrain ;;impindwa;
register ;;izingaphimbo;
reharmonisation;;ukwenziwaa kabusha bemvumelwanozindlela kabusha;
Rehearsal;;ukuzilolonga/umfundelo;
relative major ;;inhlobanokhiye enkulu;
relative minor;;inhlobanokhiye encane;
relative pitch ;;iphimbo kuhlobana;
Renaissance ;;umvusakuqonda;
repeat sign ;;uphawu lenkombakuphinda;
repertoire;;iqoqomculo;
reprise ;;impindangxenye;
requiem ;;umculomisa wabafileyo;
resolution;;isixazululo;
resonance ;;isaho;
rest;;ubungakosikhathi sokuthula;
retrograde;;impindamuva;
retrograde inversion;;impindamuva ehlanekezelekile;
rhythm;;indidiyelosigqi;
rhythmic ;;okunendidiyelosigqi;
ricercar ;;irisekha;
rigaudon ;;irigodoni;
ritenuto;;isigubhukanekwehla;
rococo ;;irokhokho;
romantic ;;iromantiki;
rondo;;irondo;
root;;inothimsuka eliyibhesi;
root position;;inothinsusa eyidoshaba;
round ;;ukungenakulandelana;
rubato ;;ilahlasigqi;
sarabande;;isarabhande ;
saxophone (soprano/alto/tenor/baritone);;iseksofoni (soprano/alto/tenor/baritone);
scale ;;isikhawumanothi;
scherzo ;;isketso;
scordatura ;;iskodathura;
score;;umculo obhaliwe;
second time bar/bracket;;umgamuwesibili;
segankure ;;isihankuri;
semibreve;;inothi elizigqizine;
semiquaver;;ingxenyana yenothi elisigqisinye;
semitone;;isigamu somsindo ophelele;
septet ;;umculowabayisithupha;
sequence ;;ukulandelana;
serenade ;;iserenedi;
serialism;;uchungekulingana lwamanothi/ukulinganisa amanothi;
sextet ;;imvungesithupha;
sforzando;;umyalelokugcizelela;
sharp ;;inyusanothi;
Sight sing;;ukuculangokufunda;
simple time;;inhlukanakabili yomgqigqo;
sing;;ukucula;
slide ;;ishibilikanothini;
slur;;inxumanomsindo;
sonata;;isonata;
sonata form ;;umumo wesonata;
sonatina ;;isonata emfishane;
song ;;iculo;
song cycle ;;ukulandelana kwamaculo;
soprano ;;;
staccato ;;ujuqumanothi;
stave/staff;;uhlakalokubhalela umculo;
stretto ;;istretho;
string quartet ;;iqoqozimfijoli ezine;
strophic;;istrofikhi;
Sub- tonic;;inothi eliholelayo elehlisiwe;
subdominant;;inothimvama elimaphansi ;
subito;;Isubhitho/isubhito;
submediant;;inothi elimaphansi;
suite ;;Ukuhambelana;
supertonic;;inothi elingaphezulu kwelokuqala;
Swing;;isigqikujinga;
symphony;;isimfoni;
system ;;uhlelo;
tablature ;;uhlelokubhala lwezinsimbi ezinentambo;
temperament ;;ukusetha ;
tempo;;isivinini;
tenor;;indlela yesithathu;
tenor clef;;inkombanothi yendlela yesithathu;
tenuto;;ithenutho;
ternary form;;umumoculo ongxenyentathu;
tessitura ;;ithesithura;
texture;;isijimculo;
theme ;;ingqikithi/indikimba;
theme and variations;;ingqikithi nokuguquguquka;
tie;;isihlanganisimanothi;
tiere de picardie;;isiguqulasixhamanothi;
timbre ;;ubunjalobezwi;
timbila;;imbila yabatshopi;
time signature;;inkombasigqi;
tonal ;;okomsindo;
tonal centre;;umsindongqikithi;
tonality ;;ubunjalomsindo;
tone;;umsindo libanga ophelele;
toneless ;;okungebuculo;
Tonic;;inothi lokuqala;
township jazz;;ijezi yaselokishini;
transcribe;;ukhiphelombhalo;
transposition;;inguqulakhiye;
treble ;;amaphimbo aphezulu;
treble clef;;inkombanothi  yamaphimbo aphezulu;
tremolo ;;ukuqhaqhazelisa izwi;
triad;;isixhamanothimathathu;
trill;;isinongimculo ithrili;
trio;;umculowabathathu;
triple time;;umgamu omgqigqontathu ;
triplet;;izigqintathu kwezimbili;
tritone ;;inxenyentathu yobushiyagalombili;
trombone;;icilongosishibilikisi;
trumpet;;icilongo ;
tshihwana bow ;;itshihwana;
tuba;;icilongo elikhulu;
tune ;;ishuni;
tuning ;;ukusetha;
turn;;isinongimculo itheni;
tutti ;;uwonkewonke/ithuthi;
twelve tone music ;;umculo wochunge kulingana manothi;
uhadi bow ;;uhhadi;
Ukulele;;ikulele;
umakhweyana bow ;;umakhweyana;
umqangala bow ;;umqangala;
umrhubhe bow ;;umhubhe;
unison ;;imfananothi;
verismo ;;iverisimo;
vibraphone;;imbila emanothinsimbi;
vibrato ;;ukuvevezelisa iwi;
viola;;ivayola/imvijolo;
violin;;ivayolini;
virtuoso ;;ungoti wokudla umculo;
vivace ;;umyalelomfutho;
vocal;;ngokwezi/ngokwephipho;
voice ;;izwi/phimbo;
voice leading;;iphimbo eliholelayo;
waltz ;;iwolzi;
whole tone scale;;isikhawumisindo  ephelele;
whole/half scale;;ingxubesikhawumanothi aphelele nayisigamu;
world music;;umculo womhlaba;
xitende bow ;;ishitende;
xizambi bow;;ishizambi;
xylophone;;imbila/imalimba;
Soprano recorder;;umtshingwana  wendlela yokuqala;
Alto recorder;;umtshingwana  wendlela wendlela yesibili;
Tenor recorder;;umtshingwana  wendlela yesithathu;
Bass recorder;;umtshingwana  webhesi;
Soprano saxophone;;iseksofoni yendlela yokuqala;
Alto saxophone;;iseksofoni yendlela yesibili;
Tenor saxophone;;iseksofoni yebhesi;
Baritone saxophone;;iseksofoni yendlela yesithathu;
Alla breve;;amanothizigqimbili amabili esigamini;
Adagietto;;umyaleleokunensanyana;
Andantino;;umnensokushesha;
Dal segno;;impindelaluphawini;
Larghetto;;ngokunensanyana;
Largamente;;umyalekundlaleka;
Maestoso;;umyalelokuzotha;
Meno;;umyalelokwehlisa;
Molto;;umyalelokwenyusa;
Mosso;;umyalelokunyakaza;
Scherzando;;umyalelo wokwenzasakudlala;
Sotto voce;;umyalelokunyenyezela;
poco;;umyalelongcosana;
Tone colour;;ubunjalobezwi;
Range;;izwibungako;
Sight read;;ukudlalangokufunda;
Tonic sol-fa;;indlelakubhala;
Solfege ;;indlelakubhalangongwaqa;
